id,name,survey_year,is_accredited,has_score,accreditation_body,max_score,score
5840,S. D. Arts & B. R. Commerce College,2015,TRUE,TRUE,NAAC,4,2.2
42877,"Shivshakti Arts, Commerce College, Babhulgaon.",2015,TRUE,TRUE,NAAC,4,2.19
1195,"Anand College of Education, Anand",2015,TRUE,TRUE,NAAC,4,2.45
6849,EXPERIMENTAL COLLEGE OF EDUCATION,2015,TRUE,TRUE,NAAC,4,2.21
6791,EXPERIMENTAL COLLEGE OF EDUCATION(MED),2015,TRUE,TRUE,NAAC,4,2.21
5821,Shri P. K. Chaudhari Mahila Arts College,2015,TRUE,TRUE,NAAC,4,2.71
5821,Shri P. K. Chaudhari Mahila Arts College,2015,TRUE,TRUE,AAA,100,78.5
43008,"Yeshwantrao Chavan Science College, Mangrulpir.",2015,TRUE,TRUE,NAAC,4,2.78
5842,"Government Arts & Commerce, Naswadi",2015,TRUE,TRUE,AAA,100,53.7155
6896,MAHILA EDUCATION COLLEGE UNJHA,2015,TRUE,TRUE,NAAC,4,2.32
1017,"MAHILA ARTS & HOMESCI. COLLEGE, KODINAR",2015,TRUE,TRUE,NAAC,4,1.81
1165,"Sardargunj Mercantile Co. Op. Bank Ltd. (Anand) English Medium College of Commerce & Management, Vallabh Vidyanagar",2015,TRUE,TRUE,NAAC,4,3.18
1165,"Sardargunj Mercantile Co. Op. Bank Ltd. (Anand) English Medium College of Commerce & Management, Vallabh Vidyanagar",2015,TRUE,FALSE,ISO,NA,NA
984,VIVEKANAND INSTITUTE OF HOTEL & TOURISM MANAGEMENT -RAJKOT,2015,TRUE,TRUE,NAAC,4,2.76
749,"R.P.BHALODIYA MAHILA ARTS, COMM. & HOMESCI. COLLEGE-UPLETA",2015,TRUE,TRUE,NAAC,4,3.2
749,"R.P.BHALODIYA MAHILA ARTS, COMM. & HOMESCI. COLLEGE-UPLETA",2015,TRUE,TRUE,AAA (Govt. Of Gujarat),10,7.85
6970,"Government First Grade College, Kunigal",2015,TRUE,TRUE,NAAC,4,2.15
18169,"Athwale Social Work, Chimur",2015,TRUE,TRUE,NAAC,4,2.37
989,MAHILA ARTS & COMM. COLLEGE-UNA,2015,TRUE,TRUE,NAAC,4,1.77
25765,Nehru Memorial Govt. Degree College,2015,TRUE,TRUE,NAAC,4,3.11
18175,"Dr Babsaheb Ambedkar Arts Commerce College, Brahmapuri",2015,TRUE,TRUE,NAAC,4,2.65
