Institution,Courses,Number of Hostels - Boys,Number of Hostels - Girls,Number of Hostels - Others,Number of Hostels - Total,Intake Capacity - Boys,Intake Capacity - Girls,Intake Capacity - Others,Intake Capacity - Total,Number of Students Residing - Boys,Number of Students Residing - Girls,Number of Students Residing - Others,Number of Students Residing - Total,Level - Ph.D - Male,Level - Ph.D - Female,Level - M.Phil - Male,Level - M.Phil - Female,Level - Post Graduate - Male,Level - Post Graduate - Female,Level - Under Graduate - Male,Level - Under Graduate - Female,Level - PG Diploma - Male,Level - PG Diploma - Female,Level - Diploma - Male,Level - Diploma - Female,Level - Certificate - Male,Level - Certificate - Female,Level - Integrated - Male,Level - Integrated - Female,Level - Total - Male,Level - Total - Female,Grand Total
"Institute of Chemical Technology, Mumbai ",54,3,2,0,5,645.0,215.0,,860,645.0,215.0,,860,46.0,8.0,,,102.0,78.0,147.0,75.0,0.0,0.0,,,,,,,295,161,456
"Institute of Liver and Bilary Sciences, New Delhi ",9,0,0,1,1,,,96.0,96,,,22.0,22,0.0,0.0,,,,,,,,,,,,,,,0,0,0
"Integral University, Lucknow ",48,1,1,0,2,1100.0,550.0,,1650,1048.0,537.0,,1585,12.0,3.0,,,220.0,153.0,884.0,295.0,,,62.0,0.0,,,,,1178,451,1629
"International Institute for Population Sciences, Mumbai ",4,1,1,0,2,120.0,48.0,,168,120.0,48.0,,168,10.0,2.0,10.0,4.0,38.0,14.0,,,,,,,,,,,58,20,78
"International Institute of Information Technology, Bangalore ",4,1,2,0,3,83.0,306.0,,389,68.0,293.0,,361,2.0,0.0,,,51.0,95.0,,,,,,,,,0.0,0.0,53,95,148
"International Institute of Information Technology, Hyderabad ",33,1,1,0,2,1096.0,240.0,,1336,1055.0,234.0,,1289,17.0,2.0,0.0,0.0,75.0,29.0,104.0,6.0,,,,,,,27.0,4.0,223,41,264
"Invertis University, Bareily ",3,4,3,0,7,622.0,471.0,,1093,622.0,308.0,,930,,,,,,,0.0,0.0,,,,,,,,,0,0,0
"ITM University, Gurgaon ",23,1,5,1,7,35.0,173.0,3.0,211,35.0,173.0,0.0,208,0.0,0.0,,,30.0,72.0,439.0,139.0,,,,,,,0.0,0.0,469,211,680
"ITM UNIVERSITY, GWALIOR ",33,1,0,0,1,200.0,,,200,200.0,,,200,,,,,0.0,0.0,44.0,49.0,0.0,0.0,0.0,0.0,,,0.0,0.0,44,49,93
"Jadavpur University, Kolkata ",135,9,2,0,11,1094.0,471.0,,1565,1094.0,444.0,,1538,0.0,4.0,39.0,69.0,733.0,557.0,944.0,592.0,13.0,16.0,,,,,,,1729,1238,2967
"Jagadguru Ramanandacharya Rajasthan Sanskrit University, Jaipur ",26,2,1,0,3,360.0,114.0,,474,109.0,51.0,,160,36.0,5.0,0.0,0.0,333.0,145.0,2511.0,989.0,63.0,4.0,,,11.0,43.0,64.0,35.0,3018,1221,4239
Jagadguru Rambhadracharya Handicapped University ,15,1,1,0,2,200.0,60.0,,260,394.0,121.0,,515,1.0,0.0,,,22.0,19.0,150.0,42.0,2.0,1.0,0.0,0.0,,,,,175,62,237
"Jagadguru Sri Shivarathreeswara University, Mysore ",2,4,4,0,8,837.0,851.0,,1688,607.0,842.0,,1449,0.0,0.0,,,99.0,72.0,110.0,120.0,10.0,13.0,,,,,,,219,205,424
"Jagannath University, Jaipur ",16,5,2,0,7,654.0,170.0,,824,480.0,144.0,,624,0.0,0.0,,,19.0,0.0,18.0,1.0,,,,,,,0.0,0.0,37,1,38
"Jai Narain Vyas University, Jodhpur ",90,4,2,0,6,997.0,440.0,,1437,992.0,418.0,,1410,38.0,41.0,78.0,72.0,1073.0,1292.0,5564.0,7117.0,187.0,46.0,,,0.0,99.0,31.0,13.0,6971,8680,15651
"Jain university,Bangalore ",82,1,1,0,2,1400.0,500.0,,1900,1100.0,480.0,,1580,0.0,0.0,0.0,15.0,52.0,97.0,0.0,0.0,,,,,,,,,52,112,164
"Jain Vishva Bharati Institute, Nagaur ",42,1,1,0,2,36.0,150.0,,186,10.0,99.0,,109,12.0,19.0,0.0,0.0,336.0,477.0,290.0,504.0,0.0,0.0,0.0,0.0,21.0,6.0,,,659,1006,1665
"Jaipur National University, Jaipur ",38,9,8,0,17,1096.0,1233.0,,2329,836.0,995.0,,1831,23.0,11.0,0.0,0.0,222.0,112.0,613.0,228.0,10.0,6.0,35.0,28.0,,,,,903,385,1288
Jamia Hamdard ,75,3,5,0,8,592.0,426.0,,1018,592.0,426.0,,1018,32.0,15.0,0.0,2.0,486.0,268.0,1500.0,429.0,87.0,83.0,64.0,33.0,2.0,0.0,,,2171,830,3001
Jamia Millia Islamia University ,70,6,3,0,9,831.0,454.0,,1285,831.0,454.0,,1285,116.0,84.0,19.0,33.0,630.0,530.0,1157.0,472.0,99.0,81.0,508.0,134.0,152.0,66.0,24.0,29.0,2705,1429,4134
"Jawaharlal Nehru Centre for Advanced Scientific Research, Banaglore ",18,4,2,0,6,187.0,137.0,,324,167.0,105.0,,272,12.0,6.0,,,14.0,3.0,,,1.0,0.0,17.0,0.0,,,7.0,2.0,51,11,62
"Jawaharlal Nehru Technological University, Anantapur ",27,8,4,0,12,1677.0,892.0,,2569,1694.0,902.0,,2596,,,,,5166.0,2879.0,14601.0,10447.0,,,100.0,24.0,,,,,19867,13350,33217
"Jawaharlal Nehru Technological University, Hyderabad ",49,3,4,2,9,606.0,693.0,48.0,1347,606.0,693.0,48.0,1347,3.0,2.0,,,8534.0,5503.0,30945.0,21847.0,,,37.0,35.0,,,0.0,0.0,39519,27387,66906
"Jawaharlal Nehru Technological University, Kakinada ",27,4,2,0,6,933.0,780.0,,1713,1093.0,831.0,,1924,,,,,7943.0,4573.0,24213.0,17364.0,,,90.0,3.0,,,,,32246,21940,54186
Jawahar Lal Nehru University ,135,8,5,5,18,2293.0,1965.0,1386.0,5644,2293.0,1965.0,1386.0,5644,246.0,112.0,372.0,301.0,338.0,434.0,140.0,70.0,,,20.0,1.0,27.0,12.0,,,1143,930,2073
Jawarharlal Nehru Architecture and Fine Art University Hyderabad ,16,1,0,0,1,120.0,,,120,110.0,,,110,,,,,100.0,25.0,300.0,133.0,,,,,,,,,400,158,558
"Jaypee Institute of Information Technology, Noida ",20,3,2,0,5,793.0,486.0,,1279,793.0,486.0,,1279,1.0,2.0,,,113.0,146.0,315.0,185.0,,,,,,,5.0,24.0,434,357,791
"Jaypee University of Information Technology, Waknaghat, Solan ",23,19,4,0,23,1199.0,386.0,,1585,1199.0,386.0,,1585,3.0,2.0,,,38.0,26.0,329.0,87.0,,,,,,,,,370,115,485
"Jiwaji University, Gwalior ",50,2,2,0,4,266.0,260.0,,526,266.0,255.0,,521,13.0,6.0,33.0,20.0,2173.0,3223.0,21615.0,18207.0,180.0,123.0,861.0,615.0,34.0,84.0,64.0,22.0,24973,22300,47273
JK LAKSHMIPAT UNIVERSITY ,9,1,1,0,2,206.0,206.0,,412,67.0,6.0,,73,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0
Junagadh Agricultural University ,17,14,6,0,20,1082.0,274.0,,1356,1030.0,335.0,,1365,48.0,10.0,,,268.0,46.0,229.0,42.0,,,178.0,56.0,,,,,723,154,877
"Kadi Sarva Vishwavidyalaya, Gandihnagar ",33,1,1,0,2,1000.0,350.0,,1350,1000.0,350.0,,1350,0.0,0.0,0.0,0.0,458.0,256.0,1403.0,1593.0,0.0,0.0,,,,,0.0,0.0,1861,1849,3710
"Kakatiya University, Warangal ",96,8,1,0,9,1582.0,1021.0,,2603,1582.0,1021.0,,2603,135.0,33.0,21.0,17.0,3533.0,5411.0,28214.0,34147.0,7.0,42.0,31.0,83.0,,,13.0,23.0,31954,39756,71710
"Kalasalingam Academy of Research and Higher Education, Srivilliputhrur ",43,4,3,0,7,3500.0,3200.0,,6700,1990.0,1820.0,,3810,7.0,2.0,,,172.0,199.0,1104.0,714.0,,,,,,,,,1283,915,2198
