Institution,Courses,Number of Hostels - Boys,Number of Hostels - Girls,Number of Hostels - Others,Number of Hostels - Total,Intake Capacity - Boys,Intake Capacity - Girls,Intake Capacity - Others,Intake Capacity - Total,Number of Students Residing - Boys,Number of Students Residing - Girls,Number of Students Residing - Others,Number of Students Residing - Total,Level - Ph.D - Male,Level - Ph.D - Female,Level - M.Phil - Male,Level - M.Phil - Female,Level - Post Graduate - Male,Level - Post Graduate - Female,Level - Under Graduate - Male,Level - Under Graduate - Female,Level - PG Diploma - Male,Level - PG Diploma - Female,Level - Diploma - Male,Level - Diploma - Female,Level - Certificate - Male,Level - Certificate - Female,Level - Integrated - Male,Level - Integrated - Female,Level - Total - Male,Level - Total - Female,Grand Total
"M.G.R. Educational and Research Institute, Chennai ",25,4,2,0,6,1296.0,450.0,,1746,1272.0,450.0,,1722,,,,,285.0,83.0,2771.0,276.0,,,,,,,,,3056,359,3415
"Mizoram University, Aizwal ",63,3,1,0,4,135.0,106.0,,241,135.0,106.0,,241,24.0,11.0,9.0,10.0,239.0,151.0,1185.0,1191.0,,,,,,,,,1457,1363,2820
"Mohan Lal Sukhadia University, Uaipur ",84,3,3,1,7,124.0,274.0,40.0,438,124.0,274.0,40.0,438,0.0,0.0,2.0,4.0,1336.0,1418.0,21768.0,17849.0,38.0,46.0,6.0,26.0,0.0,50.0,,,23150,19393,42543
MONAD UNIVERSITY ,36,2,1,0,3,150.0,25.0,,175,140.0,12.0,,152,0.0,0.0,,,143.0,25.0,375.0,34.0,45.0,8.0,119.0,0.0,0.0,0.0,,,682,67,749
"Motilal Nehru Institute of Technology, Allahabad ",47,7,2,0,9,2084.0,302.0,,2386,3031.0,597.0,,3628,15.0,0.0,,,267.0,72.0,458.0,52.0,,,,,,,,,740,124,864
Mumbai University Mumbai ,153,3,3,0,6,372.0,141.0,,513,382.0,146.0,,528,109.0,54.0,30.0,33.0,4789.0,5082.0,65483.0,57715.0,421.0,433.0,203.0,382.0,270.0,349.0,0.0,0.0,71305,64048,135353
"Mysore University, Mysore ",103,4,2,1,7,777.0,605.0,80.0,1462,1021.0,756.0,90.0,1867,207.0,70.0,66.0,41.0,1000.0,1570.0,16000.0,20862.0,19.0,7.0,11.0,12.0,169.0,73.0,26.0,7.0,17498,22642,40140
"Nagaland University, Kohima ",59,12,7,0,19,494.0,393.0,,887,459.0,393.0,,852,0.0,0.0,0.0,0.0,405.0,0.0,2279.0,2592.0,,,,,,,,,2684,2592,5276
"Narsee Monjee Institute of Management Studies, Mumbai ",60,7,7,0,14,1780.0,432.0,,2212,1634.0,424.0,,2058,12.0,10.0,,,1054.0,420.0,468.0,194.0,196.0,183.0,44.0,26.0,,,7.0,8.0,1781,841,2622
"National Brain Research Centre, Gurgaon ",2,0,0,2,2,,,172.0,172,,,122.0,122,4.0,5.0,,,,,,,,,,,,,0.0,0.0,4,5,9
"National Dairy Research Institute, Karnal ",26,3,3,2,8,438.0,192.0,35.0,665,500.0,232.0,35.0,767,19.0,10.0,,,81.0,35.0,29.0,2.0,,,,,,,,,129,47,176
"National Institute of Pharmaceutical, Educational and Research, Mohali ",25,3,1,1,5,478.0,160.0,18.0,656,478.0,160.0,18.0,656,41.0,6.0,,,457.0,141.0,,,,,,,,,,,498,147,645
"National Institute of Technology, Agartala ",7,4,1,0,5,1344.0,500.0,,1844,1344.0,500.0,,1844,2.0,2.0,,,72.0,35.0,290.0,63.0,,,,,,,,,364,100,464
National Institute of Technology Arunachal Pradesh ,3,4,2,0,6,285.0,80.0,,365,194.0,54.0,,248,,,,,,,187.0,46.0,,,,,,,,,187,46,233
"National Institute of Technology, Calicut ",33,11,2,0,13,1636.0,379.0,,2015,3064.0,940.0,,4004,20.0,7.0,,,317.0,76.0,458.0,87.0,,,,,,,,,795,170,965
"National Institute of Technology, Durgapur ",30,7,3,0,10,1740.0,515.0,,2255,2186.0,750.0,,2936,,,,,239.0,91.0,1894.0,342.0,,,,,,,,,2133,433,2566
National Institute of Technology Goa ,3,2,1,0,3,110.0,20.0,,130,90.0,15.0,,105,,,,,,,0.0,0.0,,,,,,,,,0,0,0
"National Institute of Technology, Hamirpur ",27,7,2,0,9,1860.0,584.0,,2444,2013.0,531.0,,2544,0.0,0.0,,,131.0,17.0,246.0,51.0,,,,,,,,,377,68,445
"National Institute of Technology, Jamshedpur ",16,9,2,0,11,1800.0,180.0,,1980,1800.0,180.0,,1980,,,,,47.0,21.0,416.0,40.0,,,,,,,,,463,61,524
"National Institute of Technology, Karnataka ",51,11,3,0,14,2628.0,238.0,,2866,3316.0,475.0,,3791,32.0,5.0,,,421.0,157.0,432.0,73.0,,,,,,,,,885,235,1120
"National Institute of Technology, Kurukshetra ",22,9,3,0,12,2410.0,668.0,,3078,2911.0,682.0,,3593,11.0,2.0,,,243.0,81.0,363.0,30.0,,,,,,,,,617,113,730
National Institute of Technology Manipur ,3,2,1,0,3,187.0,52.0,,239,184.0,27.0,,211,,,,,,,0.0,0.0,,,,,,,,,0,0,0
National Institute of Technology Meghalaya ,3,1,1,0,2,160.0,20.0,,180,110.0,6.0,,116,,,,,,,0.0,0.0,,,,,,,,,0,0,0
National Institute of Technology Mizoram ,3,1,1,0,2,84.0,30.0,,114,76.0,9.0,,85,,,,,,,0.0,0.0,,,,,,,,,0,0,0
"National Institute of Technology, Patna ",21,3,1,0,4,492.0,134.0,,626,483.0,134.0,,617,0.0,0.0,,,32.0,3.0,276.0,68.0,,,,,,,,,308,71,379
National Institute of Technology Puducherry ,3,3,1,0,4,160.0,38.0,,198,160.0,38.0,,198,,,,,,,0.0,0.0,,,,,,,,,0,0,0
"National Institute of Technology, Raipur ",2,5,3,0,8,548.0,399.0,,947,635.0,427.0,,1062,,,,,16.0,14.0,475.0,130.0,,,,,,,,,491,144,635
"National Institute of Technology, Rourkela ",25,8,1,0,9,3199.0,694.0,,3893,3466.0,820.0,,4286,9.0,4.0,,,159.0,37.0,324.0,33.0,,,,,,,,,492,74,566
National Institute of Technology Sikkim ,3,10,3,0,13,250.0,75.0,,325,230.0,45.0,,275,,,,,,,0.0,0.0,,,,,,,,,0,0,0
"National Institute of Technology, Silchar ",21,8,2,0,10,1987.0,401.0,,2388,1918.0,365.0,,2283,3.0,3.0,,,47.0,9.0,248.0,39.0,,,,,,,,,298,51,349
"National Institute of Technology, Srinagar ",24,5,1,0,6,1321.0,150.0,,1471,1604.0,192.0,,1796,1.0,0.0,0.0,0.0,29.0,5.0,313.0,37.0,,,,,,,,,343,42,385
"National Institute of Technology, Tiruchirapalli ",33,19,4,0,23,4022.0,835.0,,4857,4022.0,835.0,,4857,,,,,495.0,124.0,457.0,85.0,,,,,,,,,952,209,1161
National Institute of Technology Uttarakhand ,3,2,1,0,3,128.0,30.0,,158,95.0,11.0,,106,,,,,,,0.0,0.0,,,,,,,,,0,0,0
"National Institute of Technology, Warangal ",38,17,3,0,20,4869.0,721.0,,5590,3456.0,724.0,,4180,,,,,365.0,97.0,610.0,155.0,,,,,,,,,975,252,1227
"National Law Institute University, Bhopal ",5,2,2,0,4,228.0,228.0,,456,222.0,222.0,,444,0.0,0.0,,,5.0,5.0,37.0,29.0,12.0,6.0,,,,,,,54,40,94
"National Law School of India University, Bangalore ",11,5,6,0,11,334.0,312.0,,646,334.0,312.0,,646,6.0,1.0,1.0,2.0,40.0,77.0,39.0,41.0,27.0,117.0,,,,,,,113,238,351
"National Law University, Cuttuck ",3,1,1,0,2,160.0,80.0,,240,78.0,42.0,,120,,,,,1.0,1.0,,,,,,,,,0.0,0.0,1,1,2
"National Law University, Delhi ",5,1,1,0,2,210.0,210.0,,420,160.0,160.0,,320,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0,0,0
"National Law University, Jodhpur ",8,6,5,0,11,395.0,306.0,,701,321.0,275.0,,596,0.0,2.0,,,260.0,161.0,54.0,34.0,,,,,,,,,314,197,511
"National University of Advanced Legal Studies, Kochi ",6,1,1,0,2,108.0,108.0,,216,108.0,108.0,,216,0.0,0.0,,,3.0,3.0,26.0,32.0,6.0,3.0,,,,,,,35,38,73
"Nava Nalanda Mahavihara, Nalanda ",21,2,0,0,2,110.0,,,110,110.0,,,110,0.0,0.0,,,49.0,20.0,22.0,5.0,,,0.0,0.0,4.0,0.0,,,75,25,100
Navrachana University ,7,1,1,0,2,30.0,40.0,,70,13.0,22.0,,35,,,,,0.0,2.0,183.0,205.0,,,,,,,,,183,207,390
"Nehru Gram Bharati, Allahabad ",72,1,1,0,2,56.0,45.0,,101,34.0,36.0,,70,0.0,0.0,,,207.0,203.0,538.0,346.0,6.0,1.0,24.0,25.0,,,,,775,575,1350
"NIMS University, Jaipur ",383,8,7,0,15,2660.0,2260.0,,4920,2660.0,2260.0,,4920,2.0,0.0,0.0,0.0,4631.0,691.0,2992.0,438.0,856.0,144.0,1423.0,193.0,,,0.0,0.0,9904,1466,11370
"NITTE Unversity, Mangalore ",17,4,7,2,13,542.0,1613.0,576.0,2731,343.0,1295.0,293.0,1931,0.0,0.0,,,158.0,123.0,258.0,924.0,,,,,,,,,416,1047,1463
"Noorul Islam Centre for Higher Education, Kanyakumari ",37,2,1,0,3,960.0,543.0,,1503,894.0,541.0,,1435,0.0,0.0,,,87.0,163.0,240.0,177.0,,,,,,,,,327,340,667
"North Bengal University, Darjeeling ",67,6,6,0,12,758.0,512.0,,1270,525.0,478.0,,1003,23.0,7.0,4.0,2.0,2050.0,2813.0,18604.0,19094.0,14.0,0.0,0.0,47.0,28.0,115.0,232.0,132.0,20955,22210,43165
"North Eastern Hill University, Shillong ",72,12,9,0,21,1035.0,807.0,,1842,1035.0,807.0,,1842,27.0,29.0,2.0,4.0,329.0,567.0,3898.0,3259.0,24.0,18.0,,,,,,,4280,3877,8157
"North Maharashtra University, Jalgaon ",39,3,3,0,6,561.0,321.0,,882,561.0,321.0,,882,0.0,0.0,,,2147.0,1866.0,11574.0,9887.0,19.0,31.0,132.0,59.0,49.0,110.0,17.0,53.0,13938,12006,25944
"North Orissa University, Mayurbhanj ",55,1,2,0,3,104.0,144.0,,248,50.0,144.0,,194,5.0,1.0,50.0,56.0,654.0,368.0,1696.0,2861.0,30.0,8.0,,,,,,,2435,3294,5729
"O. P. Jindal Global University, Sonipat ",5,6,1,0,7,354.0,206.0,,560,350.0,200.0,,550,,,,,41.0,10.0,9.0,7.0,,,,,,,,,50,17,67
"Osmania University, Hyderabad ",210,17,5,0,22,2963.0,1619.0,,4582,4284.0,2500.0,,6784,263.0,154.0,17.0,23.0,18053.0,13578.0,37282.0,40611.0,164.0,183.0,0.0,0.0,75.0,163.0,344.0,195.0,56198,54907,111105
"Padmashree Dr. D. Y. Patil Vidyapeeth, , Mumbai ",73,1,1,0,2,250.0,780.0,,1030,225.0,635.0,,860,9.0,8.0,8.0,4.0,351.0,227.0,362.0,619.0,3.0,6.0,,,,,56.0,0.0,789,864,1653
"Palamuru University, Mahabubnagar ",11,1,1,0,2,500.0,280.0,,780,500.0,280.0,,780,,,,,894.0,416.0,1979.0,1870.0,,,26.0,12.0,,,85.0,37.0,2984,2335,5319
"Pandit Deendayal Petroleum University, Gandhi Nagar ",19,1,1,0,2,854.0,300.0,,1154,854.0,300.0,,1154,0.0,0.0,,,12.0,0.0,199.0,20.0,0.0,0.0,,,,,,,211,20,231
"Panjab University,Chandigarh ",223,8,9,0,17,2552.0,2673.0,,5225,2999.0,3032.0,,6031,0.0,0.0,29.0,79.0,2047.0,5797.0,12710.0,24958.0,151.0,532.0,322.0,96.0,54.0,55.0,,,15313,31517,46830
"Patna University, Patna ",30,6,3,0,9,450.0,328.0,,778,207.0,244.0,,451,,,,,902.0,588.0,5440.0,2626.0,9.0,42.0,,,,,,,6351,3256,9607
"PEC University of Technology, Chandigarh ",28,4,2,0,6,893.0,217.0,,1110,879.0,213.0,,1092,1.0,1.0,,,140.0,30.0,309.0,61.0,,,,,,,,,450,92,542
PEOPLES UNIVERSITY ,50,1,1,1,3,600.0,900.0,100.0,1600,560.0,892.0,100.0,1552,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0,0,0
"Periyar University, Salem ",153,1,1,0,2,147.0,141.0,,288,166.0,198.0,,364,7.0,13.0,182.0,419.0,2687.0,3379.0,9816.0,16203.0,19.0,19.0,18.0,25.0,1.0,5.0,,,12730,20063,32793
"Pondicherry Univeristy, Puducherry ",140,8,5,0,13,858.0,554.0,,1412,850.0,550.0,,1400,53.0,32.0,77.0,61.0,3525.0,1675.0,1883.0,2814.0,0.0,0.0,118.0,35.0,0.0,0.0,17.0,36.0,5673,4653,10326
"Pravara Institute of Medical Sciences, Ahmednagar ",45,3,5,1,9,645.0,1115.0,108.0,1868,508.0,850.0,91.0,1449,0.0,0.0,,,74.0,36.0,199.0,480.0,26.0,9.0,14.0,97.0,0.0,0.0,,,313,622,935
Presidency University ,34,1,1,0,2,236.0,99.0,,335,236.0,99.0,,335,,,,,136.0,187.0,169.0,256.0,,,,,,,,,305,443,748
"Pt. Bhagat Dyal University of Health Science, Rohtak ",13,2,1,2,5,792.0,701.0,639.0,2132,763.0,690.0,600.0,2053,,,0.0,0.0,251.0,252.0,784.0,1213.0,,,90.0,15.0,,,,,1125,1480,2605
"Pt. Ravishankar Shukla University, Raipur ",88,2,1,0,3,92.0,89.0,,181,120.0,216.0,,336,3.0,18.0,72.0,136.0,2314.0,3622.0,13657.0,21329.0,819.0,803.0,227.0,162.0,24.0,31.0,,,17116,26101,43217
"Pune University, Pune ",152,9,9,0,18,1163.0,1170.0,,2333,1163.0,1170.0,,2333,257.0,132.0,124.0,97.0,15891.0,11196.0,61197.0,50619.0,385.0,222.0,299.0,289.0,88.0,58.0,323.0,215.0,78564,62828,141392
"Punjab Agricultural University, Ludhiana ",72,4,4,0,8,777.0,778.0,,1555,831.0,963.0,,1794,26.0,48.0,,,237.0,237.0,91.0,38.0,0.0,0.0,,,,,0.0,0.0,354,323,677
"Punjabi University, Patiala ",174,7,9,0,16,2134.0,2639.0,,4773,2538.0,3392.0,,5930,29.0,20.0,75.0,130.0,3019.0,5646.0,11267.0,14949.0,289.0,573.0,256.0,337.0,75.0,120.0,11.0,7.0,15021,21782,36803
"Rabindra Bharati University, Kolkata ",96,2,3,0,5,140.0,139.0,,279,83.0,100.0,,183,12.0,4.0,34.0,35.0,4855.0,9382.0,160.0,80.0,0.0,0.0,0.0,0.0,,,,,5061,9501,14562
RAFFLLES UNIVERSITY ,8,1,1,0,2,144.0,144.0,,288,25.0,3.0,,28,,,,,8.0,1.0,71.0,10.0,,,,,,,10.0,0.0,89,11,100
"Rajasthan Ayurveda University, Jodhpur ",7,1,1,0,2,100.0,100.0,,200,45.0,50.0,,95,30.0,10.0,,,116.0,48.0,851.0,427.0,,,1159.0,562.0,,,,,2156,1047,3203
"Rajasthan University, Jaipur ",157,10,8,0,18,917.0,1221.0,,2138,917.0,1221.0,,2138,495.0,157.0,398.0,153.0,4046.0,5133.0,51885.0,49939.0,692.0,352.0,173.0,166.0,471.0,418.0,227.0,262.0,58387,56580,114967
"Rajendra Agricultural University, Samastipur ",28,5,3,0,8,990.0,355.0,,1345,585.0,238.0,,823,3.0,4.0,,,54.0,36.0,63.0,19.0,,,,,,,,,120,59,179
"Rajiv Gandhi Institute of Petroleum Technology, Rae Bareli ",4,1,1,1,3,269.0,44.0,68.0,381,269.0,15.0,52.0,336,,,,,29.0,9.0,0.0,0.0,,,,,,,,,29,9,38
"Rajiv Gandhi National Instiute of Youth Development, Sriperumbudur ",5,1,1,0,2,85.0,60.0,,145,85.0,50.0,,135,,,,,38.0,22.0,,,,,,,,,,,38,22,60
"Rajiv Gandhi Prodoyogiki Vishwavidyalaya, Bhopal ",8,1,1,0,2,96.0,96.0,,192,120.0,100.0,,220,,,,,1016.0,449.0,4352.0,1202.0,,,132.0,41.0,,,,,5500,1692,7192
"Rajiv Gandhi University, Itanagar ",43,3,2,1,6,370.0,152.0,60.0,582,262.0,170.0,60.0,492,19.0,9.0,19.0,14.0,159.0,166.0,1040.0,1228.0,24.0,16.0,,,,,,,1261,1433,2694
"Ramakrishna Mission Vivekananda Educational and Research Institute, Howrah ",36,4,1,0,5,442.0,60.0,,502,442.0,60.0,,502,1.0,1.0,9.0,1.0,63.0,34.0,263.0,147.0,,,101.0,58.0,103.0,42.0,4.0,0.0,544,283,827
"Ranchi University, Ranchi ",61,2,1,0,3,210.0,100.0,,310,210.0,100.0,,310,169.0,226.0,,,1407.0,3016.0,1460.0,10105.0,71.0,139.0,9.0,52.0,1.0,27.0,,,3117,13565,16682
"Rani Channamma University, Belagavi ",17,2,0,0,2,136.0,,,136,136.0,,,136,,,,,669.0,392.0,18502.0,13579.0,24.0,28.0,,,51.0,0.0,,,19246,13999,33245
"Rani Durgavati Vishwavidyalaya, Jabalpur ",41,1,1,1,3,104.0,80.0,18.0,202,104.0,80.0,18.0,202,34.0,14.0,198.0,118.0,2232.0,3155.0,19013.0,25910.0,62.0,50.0,173.0,94.0,,,7.0,5.0,21719,29346,51065
"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur ",126,4,3,1,8,760.0,247.0,20.0,1027,760.0,247.0,20.0,1027,4.0,1.0,4.0,6.0,2448.0,3140.0,10740.0,13111.0,64.0,73.0,5.0,2.0,21.0,62.0,8.0,43.0,13294,16438,29732
"Rastriya Sanskrit Vidyapeeth, Tirupathi ",87,4,2,0,6,398.0,171.0,,569,654.0,345.0,,999,35.0,13.0,27.0,13.0,164.0,82.0,319.0,127.0,11.0,12.0,3.0,1.0,,,,,559,248,807
"Ravenshaw University, Cuttak ",65,5,5,0,10,946.0,1240.0,,2186,946.0,1240.0,,2186,13.0,2.0,36.0,50.0,317.0,566.0,678.0,948.0,,,,,,,,,1044,1566,2610
"Rayalaseema, University Kurnool ",15,3,2,0,5,330.0,240.0,,570,425.0,286.0,,711,,,,,762.0,350.0,1031.0,512.0,,,,,,,7.0,2.0,1800,864,2664
RKDF UNIVERSITY ,16,2,1,0,3,600.0,50.0,,650,110.0,15.0,,125,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0,0,0
"Sambalpur University, Sambalpur ",44,4,5,0,9,750.0,585.0,,1335,955.0,820.0,,1775,16.0,5.0,70.0,88.0,412.0,440.0,2761.0,3051.0,128.0,11.0,0.0,0.0,,,,,3387,3595,6982
"Sampurnanand Sanskrit Vishwavidyalaya, Varanasi ",59,4,1,0,5,485.0,0.0,,485,413.0,0.0,,413,0.0,0.0,,,4952.0,4647.0,19914.0,31514.0,,,,,3.0,0.0,22.0,18.0,24891,36179,61070
"Sant Gadge Baba Amravati University, Amravati ",24,2,3,0,5,123.0,209.0,,332,123.0,209.0,,332,4.0,1.0,1.0,8.0,1204.0,1592.0,8615.0,9138.0,21.0,20.0,80.0,240.0,121.0,174.0,47.0,45.0,10093,11218,21311
"Santosh University, Ghaziabad ",40,3,3,0,6,294.0,620.0,,914,104.0,497.0,,601,,,,,25.0,31.0,18.0,50.0,9.0,3.0,23.0,0.0,,,,,75,84,159
"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha ",12,10,3,0,13,772.0,260.0,,1032,772.0,260.0,,1032,26.0,12.0,,,72.0,38.0,222.0,110.0,,,,,,,,,320,160,480
"Sardar Patel University, Vallabh Vidyanagar ",82,5,2,0,7,524.0,378.0,,902,337.0,335.0,,672,13.0,11.0,11.0,12.0,3733.0,2838.0,8453.0,5169.0,186.0,150.0,233.0,209.0,300.0,298.0,270.0,391.0,13199,9078,22277
"Sardar Vallabhbhai National Institute of Technology, Surat ",25,6,2,1,9,2381.0,390.0,198.0,2969,2343.0,320.0,75.0,2738,0.0,0.0,,,274.0,0.0,340.0,85.0,,,,,,,0.0,0.0,614,85,699
"Satavahana University, Karimnagar ",12,2,2,0,4,300.0,120.0,,420,350.0,152.0,,502,,,,,724.0,573.0,2939.0,3640.0,,,,,,,,,3663,4213,7876
"Saurashtra University, Rajkot ",31,3,1,0,4,234.0,75.0,,309,156.0,43.0,,199,3.0,1.0,,,1909.0,2591.0,40661.0,51155.0,697.0,905.0,88.0,279.0,1951.0,682.0,0.0,100.0,45309,55713,101022
"Sharda University, Gautam Budh Nagar ",19,4,2,0,6,1146.0,556.0,,1702,1049.0,533.0,,1582,0.0,0.0,,,10.0,0.0,0.0,0.0,,,0.0,0.0,,,,,10,0,10
"Shivaji University, Kolhapur ",138,5,4,0,9,1028.0,1135.0,,2163,1003.0,1135.0,,2138,134.0,37.0,67.0,68.0,5430.0,7638.0,25896.0,29165.0,10.0,105.0,274.0,304.0,26.0,37.0,,,31837,37354,69191
SHIV NADAR UNIVERSITY ,7,1,1,0,2,370.0,370.0,,740,190.0,84.0,,274,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0
"Shoolini University of Bio Technology and Management Sciences, Oachghat, Solan ",37,6,1,0,7,435.0,260.0,,695,425.0,257.0,,682,0.0,0.0,0.0,0.0,26.0,11.0,0.0,0.0,,,,,,,,,26,11,37
"Shree Sankaracharya Univeristy of Sanskrit, Kalady ",46,1,2,2,5,48.0,209.0,35.0,292,57.0,339.0,47.0,443,19.0,25.0,,,106.0,410.0,31.0,149.0,,,0.0,9.0,,,34.0,54.0,190,647,837
"Shree Somnath Sanskrit University, Junagarh ",27,1,1,0,2,75.0,50.0,,125,62.0,32.0,,94,7.0,4.0,0.0,1.0,214.0,21.0,477.0,11.0,21.0,8.0,248.0,125.0,1.0,1.0,,,968,171,1139
"Shri Jagannath Sanskrit Vishwavidyalaya, Puri ",23,2,1,0,3,136.0,96.0,,232,350.0,105.0,,455,1.0,0.0,17.0,26.0,53.0,111.0,360.0,434.0,,,,,0.0,0.0,0.0,0.0,431,571,1002
"Shri Lal Bhadur Shashtri Rashtriya Sanskrit Vidyapith, New Delhi ",69,1,0,0,1,90.0,,,90,88.0,,,88,7.0,1.0,0.0,0.0,99.0,26.0,264.0,80.0,7.0,0.0,13.0,2.0,13.0,0.0,,,403,109,512
"Shri Mata Vaishno Devi University, Jammu ",27,4,2,0,6,924.0,400.0,,1324,924.0,400.0,,1324,1.0,2.0,,,97.0,74.0,160.0,28.0,,,,,,,,,258,104,362
"Sikkim University, Gangtok ",24,1,1,0,2,74.0,100.0,,174,56.0,86.0,,142,,,0.0,0.0,109.0,48.0,1200.0,1444.0,,,77.0,10.0,,,14.0,23.0,1400,1525,2925
"Sir Padampat Singhania University, Udaipur ",16,6,3,0,9,1278.0,320.0,,1598,1134.0,286.0,,1420,0.0,0.0,,,24.0,12.0,70.0,16.0,,,,,,,0.0,0.0,94,28,122
"Solapur University, Solapur ",14,1,1,0,2,300.0,200.0,,500,188.0,102.0,,290,2.0,0.0,6.0,7.0,1768.0,1269.0,8880.0,6422.0,15.0,21.0,24.0,25.0,79.0,104.0,,,10774,7848,18622
"South Asian University, JNU Campus, New Delhi ",6,1,1,0,2,216.0,78.0,,294,188.0,71.0,,259,,,,,0.0,0.0,,,,,,,,,,,0,0,0
"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram ",29,2,1,0,3,92.0,60.0,,152,92.0,60.0,,152,34.0,0.0,17.0,0.0,8.0,6.0,,,,,48.0,0.0,18.0,0.0,,,125,6,131
"Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya, Kancheepuram ",45,5,4,0,9,1945.0,775.0,,2720,1313.0,588.0,,1901,17.0,5.0,35.0,42.0,127.0,53.0,473.0,232.0,,,,,,,,,652,332,984
"Sri Devraj Urs Acaedmy of Highehr Education and Research, Kolar ",8,3,5,0,8,592.0,583.0,,1175,461.0,502.0,,963,0.0,0.0,,,22.0,10.0,59.0,66.0,7.0,6.0,,,2.0,0.0,,,90,82,172
"Sri Guru Granth Sahib World University, Fatehgarh Sahib ",11,1,2,0,3,120.0,168.0,,288,68.0,131.0,,199,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0,0,0
"Sri Krishnadevaraya University, Anantapur ",115,6,2,0,8,1000.0,550.0,,1550,1569.0,931.0,,2500,4.0,0.0,0.0,0.0,3794.0,2905.0,2155.0,1612.0,37.0,33.0,,,,,,,5990,4550,10540
"Sri Padmavathi Mahila Visva Vidyalayam, Tirupathi ",72,0,8,0,8,,2123.0,,2123,,1993.0,,1993,0.0,40.0,0.0,5.0,0.0,626.0,0.0,851.0,0.0,0.0,,,,,,,0,1522,1522
"Sri Ramachandra Medical College and Research Institute, Chennai ",82,1,1,2,4,856.0,1583.0,1100.0,3539,680.0,1333.0,1069.0,3082,4.0,4.0,2.0,4.0,90.0,165.0,99.0,283.0,,,,,,,,,195,456,651
"Sri Satya Sai Institute of Higher Learning, Anantpur ",39,3,1,0,4,1300.0,500.0,,1800,806.0,447.0,,1253,0.0,0.0,8.0,0.0,92.0,16.0,135.0,111.0,,,,,,,0.0,0.0,235,127,362
SRI SRI UNIVERSITY ,2,1,1,0,2,168.0,64.0,,232,76.0,55.0,,131,,,,,0.0,0.0,,,,,,,,,,,0,0,0
"Sri Venkateswara Institute of Medical Sciences, Tirupathi ",46,1,3,1,5,164.0,384.0,29.0,577,147.0,459.0,29.0,635,11.0,0.0,,,37.0,60.0,26.0,73.0,5.0,6.0,0.0,0.0,0.0,5.0,,,79,144,223
"Sri Venkateswara University, Tirupathy ",85,5,1,0,6,2973.0,1700.0,,4673,2973.0,1700.0,,4673,0.0,3.0,0.0,0.0,9751.0,4713.0,8687.0,6171.0,314.0,239.0,,,,,409.0,78.0,19161,11204,30365
"Sri Venkateswara Vedic University, Tirpupathi ",21,4,0,0,4,800.0,,,800,255.0,,,255,4.0,0.0,0.0,0.0,38.0,0.0,128.0,0.0,,,0.0,0.0,,,,,170,0,170
"Sumandeep Vidyappeth, Vadodara ",85,3,3,0,6,740.0,600.0,,1340,540.0,431.0,,971,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0
"Suresh Gyan Vihar Univeristy, Jaipur ",33,4,2,0,6,411.0,234.0,,645,296.0,234.0,,530,0.0,0.0,,,737.0,89.0,70.0,0.0,68.0,25.0,,,,,,,875,114,989
"Swami Ramanand Teerth Marathwada University, Nanded ",80,1,1,0,2,180.0,180.0,,360,207.0,220.0,,427,83.0,29.0,15.0,5.0,2799.0,2118.0,10273.0,6698.0,142.0,36.0,99.0,86.0,40.0,30.0,118.0,60.0,13569,9062,22631
"Swami Vivekananda Subharti University, Meerut ",70,6,6,0,12,1088.0,1019.0,,2107,927.0,870.0,,1797,0.0,0.0,0.0,1.0,457.0,361.0,560.0,402.0,1495.0,597.0,10.0,2.0,,,0.0,0.0,2522,1363,3885
"Swami Vivekananda Yoga Anusandhana Samsthan, Bangalore ",21,2,1,0,3,230.0,144.0,,374,205.0,123.0,,328,0.0,0.0,0.0,0.0,11.0,11.0,21.0,9.0,0.0,0.0,,,0.0,0.0,,,32,20,52
"Tamilnadu Agricultural University, Coimbatore ",14,3,7,1,11,750.0,1135.0,40.0,1925,748.0,1149.0,37.0,1934,102.0,69.0,,,289.0,341.0,860.0,672.0,,,93.0,27.0,,,,,1344,1109,2453
"Tamil Nadu Dr. Ambedkar Law University, Chennai ",18,0,1,0,1,,90.0,,90,,90.0,,90,,,,,0.0,0.0,862.0,422.0,0.0,0.0,,,22.0,0.0,,,884,422,1306
"Tamilnadu Physical Education and Sports University, Chennai ",48,1,1,0,2,135.0,48.0,,183,135.0,48.0,,183,3.0,1.0,81.0,41.0,260.0,125.0,444.0,235.0,446.0,230.0,220.0,26.0,72.0,29.0,,,1526,687,2213
"Tamil Univesity, Thanjavur ",73,2,2,0,4,112.0,152.0,,264,112.0,152.0,,264,52.0,48.0,31.0,46.0,532.0,601.0,581.0,1007.0,6.0,8.0,9.0,31.0,175.0,417.0,,,1386,2158,3544
