Institution,Caste-Category - Total - Male,Caste-Category - Total - Female,Caste-Category - SC - Male,Caste-Category - SC - Female,Caste-Category - ST - Male,Caste-Category - ST - Female,Caste-Category - OBC - Male,Caste-Category - OBC - Female,Out of Total - PWD - Male,Out of Total - PWD - Female,Out of Total - Muslim - Male,Out of Total - Muslim - Female,Out of Total - Other Minority Communities - Male,Out of Total - Other Minority Communities - Female
"Bhagwant University, Ajmer (Id: U-0390)",161,42,2,0,0,0,15,1,0,0,4,0,0,0
"Bharathiar University, Coimbatore (Id: U-0447)",116,39,30,4,0,0,75,26,0,0,0,0,3,3
"Bharathidasan University, Tiruchirappalli (Id: U-0448)",92,19,22,6,0,3,48,8,0,0,1,0,0,0
Bharath Institute of Higher Education & Research (Id: U-0446),423,391,0,3,0,0,4,7,1,5,0,0,0,0
"Bharati Vidyapeeth, Pune (Id: U-0292)",4,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bharat Ratana Dr. B. R. Ambedkar University, Dwarka (Id: U-0097)",33,36,2,2,1,2,0,0,0,0,NA,NA,NA,NA
"Bhatkhande Music Institute, Lucknow (Id: U-0501)",43,17,1,0,1,0,2,1,0,1,2,1,0,0
"Bhupendra Narayan Mandal University, Madhepura (Id: U-0059)",54,5,0,0,0,0,26,1,1,1,2,0,0,0
"Bidhan Chandra Krishi Vishwavidyalaya , Nadia (Id: U-0568)",343,12,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Bihar Agriculture University, Sabour (Id: U-0060)",30,2,8,0,0,0,9,2,0,0,0,0,0,0
"Biju Patnaik University of Technology, Rourkela (Id: U-0351)",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Birla Institute of Technology, Ranchi (Id: U-0202)",246,70,1,0,2,3,5,1,5,0,5,0,0,0
"Birla Institute of Technology & Sciences, Pilani (Id: U-0391)",414,109,0,0,0,0,0,0,0,0,0,0,0,0
"Birsa Agricultural University, Ranchi (Id: U-0203)",70,5,1,0,6,3,5,0,0,0,1,0,0,0
"B.L.D.E. University, Bijapur (Id: U-0214)",324,145,0,0,0,0,0,0,0,0,0,0,0,0
"B. S. Abdul Rahman Instiute of Science & Technology, Chennai (Id: U-0445)",148,148,8,10,0,0,123,119,0,0,51,31,6,17
"Bundelkhand University, Jhansi (Id: U-0502)",205,81,34,11,0,0,46,8,0,0,0,0,0,0
"Burdwan University, Burdwan (Id: U-0569)",182,28,0,0,0,0,0,0,0,0,0,0,0,0
"Calcutta University, Kolkata (Id: U-0570)",339,197,0,0,0,0,0,0,1,0,12,4,0,2
"Calicut University, Thenhipalem, Malapuram (Id: U-0251)",111,37,12,4,1,0,48,16,0,1,4,0,0,0
"Carlox Teacher's University, Ahmedabad (Id: U-0125)",4,8,0,0,0,0,0,0,0,0,0,0,0,0
"Central Institute of Fisheries Education, Fishries University, Mumbai (Id: U-0293)",49,17,4,0,0,0,4,3,0,0,NA,NA,NA,NA
"Central Institute of Higher Tibetan Studies, Varanasi (Id: U-0503)",58,5,0,0,3,0,0,0,2,0,0,0,43,2
"Central Univeristy of Gujarat, Gandhinagar (Id: U-0126)",29,14,7,3,1,1,2,0,0,0,NA,NA,NA,NA
"Central Univeristy of Kerala, Trivandrum (Id: U-0252)",24,4,0,0,0,0,0,1,0,0,0,0,0,0
"Central University of Bihar, Patna (Id: U-0062)",27,8,0,1,0,1,5,2,0,0,0,0,0,0
"Central University of Haryana, Mahendergarh (Id: U-0158)",15,3,0,0,0,0,3,2,0,0,0,0,0,0
"Central University of Himachal Pradesh, Dharmshala, Kangra (Id: U-0178)",29,3,4,0,0,0,2,0,0,0,3,0,0,1
