Institution,Caste-Category - Total - Male,Caste-Category - Total - Female,Caste-Category - SC - Male,Caste-Category - SC - Female,Caste-Category - ST - Male,Caste-Category - ST - Female,Caste-Category - OBC - Male,Caste-Category - OBC - Female,Out of Total - PWD - Male,Out of Total - PWD - Female,Out of Total - Muslim - Male,Out of Total - Muslim - Female,Out of Total - Other Minority Communities - Male,Out of Total - Other Minority Communities - Female
"ADARSH JANTA MAHAVIDYALAYA, DEVKALI, LAKHIMPUR, (Id: C-12323)",13,2,1,0,0,0,4,0,0,0,0,0,0,0
"ADARSH KRISHNA COLLEGE EDU. BHOOP NAGAR,MAINPURI (Id: C-15532)",16,5,3,1,0,0,7,0,0,0,0,0,0,0
"Adarsh Mahavidyalaya, Hardua, Nawabganj (Id: C-13459)",14,7,2,0,0,0,4,4,0,0,0,0,0,0
"Adarsh Mahavidyalaya, VITA (Id: C-11020)",38,5,3,1,0,0,0,0,0,0,0,0,0,0
Adarsh Mahila Mahavidyalaya (Id: C-28080),3,65,0,0,0,0,0,0,0,0,0,0,0,0
"Adarsh Mahila Shikshak Prashikshan Mahavidyalaya, Bilara (Id: C-13120)",13,4,2,0,0,0,9,0,0,0,0,0,0,0
"Adarsh Munishwar Sanskrit Mahavidyalaya, Gauramafi Patti (Id: C-20509)",5,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADARSH NURSING INSTITUTE, NEAR M.M.I. HOSPITAL, DHAMTARI ROAD, LALPUR (Id: C-33011)",0,22,0,0,0,0,0,0,0,0,0,0,0,0
"Adarsh Post Graduate College of Computer Sciences, Mahabubnagar (Id: C-27165)",8,4,0,0,0,0,7,2,0,0,0,0,0,0
"Adarsh Sangved Sanskrit Mahavidyalaya, Imaliya Gurudayal Ganj Baraganv (Id: C-20047)",1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adarsh Sanskrit Ayurveda Mahavidyalaya (Id: C-20180),9,3,0,0,0,0,0,0,0,0,0,0,0,0
"Adarsh Sanskrit Hindi Mahavidyalaya, Bharavaliya, Saraya Tiwari, Vai Khajani (Id: C-20235)",3,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"Adarsh Sanskrit Mahavidyalaya, Bachhana, Bilhur (Id: C-20169)",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adarsh Sanskrit Mahavidyalaya, Dharasigagaha (Id: C-20376)",6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adarsh Sanskrit Mahavidyalaya, Maunathbhanjan (Id: C-20091)",4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adarsh Sanskrit Mahavidyalaya, Ramnagar, Urai (Id: C-20010)",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adarsh Saraswati Sanskrit Vidyalaya, Rithhiya, Pipraich (Id: C-20291)",3,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"Adarsh Science, Jairamdas Bhagchand Arts &Birla Commerce College, Dhamangaon Rly. (Id: C-43042)",25,8,8,1,3,0,0,0,0,0,0,0,0,0
"Adarsh Seva Bharati Mahavidyalaya,Ramganv Palahi Patti (Id: C-19961)",10,2,0,0,0,0,1,0,0,0,0,0,0,0
"ADARSH SHIKSHA MANDIR DEGREE COLLEGE, MASAULI, MANDA, (Id: C-12124)",7,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Adarsh Shikshan Mandals Ideal College of Pharmacy and Research Adarsh Vidya Nagari 21/11 Bhal Villege PO Dwarli Malang Road Via-Kalyan(Rly. Stn.)Tal Ambernath, Dist Thane (Id: C-33719)",12,3,0,0,0,0,0,0,1,0,0,0,1,0
"Adarsh Shikshan Prasarak Mandals K.T. Patil College of B.Sc. Nursing, Osmanabad (Id: C-13994)",11,7,0,0,0,0,0,2,0,0,0,0,0,0
"Adarsh Shri ram Sanskrit Vidyalaya, Chhangapur, Leduka (Id: C-20590)",5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adarsh Shrisad Adarsh Sanskrit Mahavidyalaya, Bajiganj, Mallava (Id: C-20490)",5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adarsh Shri Sanatan Dharm Sanskrit Mahavidyalaya, Rasmandal (Id: C-20515)",5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adarsh Shri Vasudev Sanskrit Mahavidyalaya, Gutavan (Id: C-20043)",5,0,0,0,0,0,1,0,0,0,0,0,0,0
Adarsh Vikas Mandal Karmaveer Bhaurao Patil College of Arts and Commerce Wagale Estate Thane W (Id: C-34079),9,3,1,0,0,0,0,1,0,0,0,0,0,0
"ADB First Grade College, Harpanahalli (Id: C-17737)",24,3,2,0,0,0,6,0,0,0,0,0,0,0
"AD Biligowda First grade College, Koppa (Id: C-17395)",4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Addanki Institute of Management & Science, Near Singara Konda, NRT Road, North Addanki-523201 (CC-8D) (Id: C-18034)",10,13,1,2,1,0,0,5,2,0,2,0,0,0
"A.D. Deshmukh College of Education, Khultabad. (Id: C-34267)",14,3,3,1,0,0,4,0,0,0,0,0,0,0
"Adept Foundation Samsthes Adept College of Business Administration, Dharwad. (Id: C-35455)",9,5,0,0,0,0,0,0,0,0,0,1,NA,NA
"ADESHWAR NURSING INSTITUTE, SENIOR MIG G-145, HOUSING BOARD COLONY, BODHGHAT, JAGDALPUR (Id: C-32964)",3,10,0,0,0,0,0,0,0,0,0,0,0,0
"Adharsha Vidhya Kendra College, 27th Cross, Banashankari 2nd Stage, Bangalore-70 (Id: C-21137)",2,10,0,0,0,0,0,4,0,0,0,0,0,0
Adharsh Vidhyalaya College of Education (Id: C-14788),5,3,0,0,0,0,5,3,0,0,0,0,0,0
Adharsh Vidyalaya College of Arts and Science for Women (Id: C-41066),3,24,0,0,0,0,3,24,0,0,0,0,0,0
Adhi College of Engineering and Technology (Id: C-16554),55,16,18,7,2,0,0,0,0,0,0,0,0,0
"ADHIPARASAKTHI AGRICULTURAL COLLEGE, VELLORE (Id: C-45373)",28,22,5,0,0,0,21,20,0,0,1,1,1,1
Adhiparasakthi College of Education (Id: C-14885),5,6,0,0,0,0,5,5,0,0,0,1,0,0
Adhiparasakthi College of Engineering (Id: C-16562),50,33,3,4,0,0,40,27,0,0,1,0,1,0
"ADHIPARASAKTHI COLLEGE OF NURSING, KANCHEEPURAM (Id: C-45601)",10,63,0,15,0,0,10,48,0,0,0,0,0,0
"ADHIPARASAKTHI COLLEGE OF PHARMACY, KANCHEEPURAM (Id: C-45600)",12,10,0,1,0,0,12,9,0,0,0,1,0,0
"ADHIPARASAKTHI COLLEGE OF PHYSIOTHERAPY AND PARAMEDICAL SCIENCES, KANCHEEPURAM (Id: C-45602)",6,2,0,0,0,0,0,0,0,0,0,0,0,0
"ADHIPARASAKTHI DENTAL COLLEGE AND HOSPITAL, KANCHEEPURAM (Id: C-45597)",23,28,0,3,0,0,16,19,0,0,0,0,0,0
Adhiparasakthi Engineering College (Id: C-16487),105,68,2,2,0,0,98,65,1,0,1,0,1,0
Adhiyamaan College of Education (Id: C-14952),5,2,1,0,0,0,4,2,0,0,0,0,1,0
"Adichunchanagiri College of Education, Channarayapatna (Id: C-17575)",9,0,0,0,0,0,6,0,0,0,0,0,0,0
Adichunchanagiri College of Nursing (Id: C-40560),5,10,0,0,0,0,0,0,0,0,0,0,0,0
"Adichunchanagiri Institute of Business Management, Chikmagalur. (Id: C-17809)",7,1,0,0,0,0,2,0,0,0,0,0,0,0
"Adichunchanagiri Institute Of Medical Science, (Id: C-40144)",121,50,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"Adichunchanagiri Institute of Technology, CHIKKAMAGALUR (Id: C-1289)",111,51,0,0,0,0,0,0,0,0,0,0,0,0
"Adinath Krishi Vikas Pratishthans Arts College, Adinathnagar, Koradgaon, Tal.Pathardi, Dist. Ahmednagar (Id: C-41224)",3,0,1,0,0,0,0,0,0,0,0,0,0,0
"Adinath Parash Mani Skt. College, Rahua Sangram, Madhubani (Id: C-9619)",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adinath Shikshan College, Kamptee (Id: C-18517)",3,3,0,0,0,0,0,0,0,0,0,0,0,0
A.D. Institute of Science and Management (Id: C-34604),3,3,1,0,1,0,0,1,0,0,0,0,0,0
"Adiparasakthi college of arts&Science,(Autonomous),G.B.Nagar,Kalavai-632506 (Id: C-36438)",23,17,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Adi Sankara Training College, Sankar Nagar, Mattoor, Kalady, Ernakulam - 683 574 (Id: C-11799)",1,8,0,0,0,0,0,0,0,0,0,0,0,0
"Adi Shankara Institute of Engineering and Technology, Sankar Nagar, Mattoor, Kalady- 683 547 (Id: C-11745)",39,69,1,0,0,0,0,1,0,0,2,1,0,1
"Aditanar College of Arts & Science, Virapandianpattinam, Tiruchendur - 628 216 Thoothukudi District. (Id: C-41202)",43,10,6,1,0,0,34,7,0,0,0,0,2,2
"Adithya Institue of Management & Studies & Resarch (Previous name: Yelahanka College), No.12, Kogilu Main Road, Behind Annapoorneshwari Temple, Yelahanka Bangalore -64. (Id: C-20672)",10,37,1,3,0,0,0,0,0,0,0,1,0,0
Adithya Institute of Technology (Id: C-37053),54,27,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
Aditi Mahavidyalaya (Id: C-6390),1,93,0,8,0,3,0,0,1,1,NA,NA,NA,NA
"Aditi Vikas Ayurved Nursing Training Centre, Sikar (Id: C-26211)",6,3,0,0,0,0,2,3,0,0,0,0,0,0
"Aditiya Coll of Computer & Information Technology, Selu (Id: C-7588)",7,3,1,0,0,0,2,0,0,0,0,0,0,0
"Aditya College of Engineering, Madanapalle (Id: C-26971)",24,9,0,0,0,0,0,0,0,0,0,1,0,1
"Aditya College of Nursing, Kakinada (Id: C-30465)",1,24,0,11,0,0,0,4,0,0,NA,NA,NA,NA
ADITYA DEGREE COLLEGE (Id: C-24946),12,4,0,1,0,0,6,1,0,0,0,0,0,0
ADITYA DEGREE COLLEGE (Id: C-25375),7,5,1,1,0,0,3,2,0,0,0,0,0,0
"Aditya Edcuation Foundations Aditya Institute of Management, Narhe, Dist.Pune (Id: C-41350)",9,7,1,3,0,0,1,0,0,0,0,0,0,0
"Aditya Engineering College, Aditya Nagar, ADB Raod, Surampalem, PIN-533437(CC-A9) (Id: C-17952)",279,123,31,14,5,0,56,27,0,0,0,0,0,0
"ADITYA INSTITUTE OF TECHNOLOGY & MANAGEMENT, K.Kothuru, Tekkali - 532201, Srikakulam District, A.P(CC-A5) (Id: C-18122)",184,0,0,0,0,0,0,0,0,0,0,0,0,0
ADITYAJ COLLEGE CITY CENTER (Id: C-34760),4,7,0,0,0,0,0,0,0,0,0,0,0,0
"Aditya Kiran College of Applied Studies, Krishnagiri, PO-Kuttor (Id: C-43859)",7,10,0,0,0,0,0,0,0,0,0,0,0,0
Adivasi Arts & Commerce College (Id: C-5846),19,4,5,0,4,1,5,1,0,0,3,0,0,0
ADIVASI ARTS & COMMERCE COLLEGE BHILODA (Id: C-6627),8,1,0,0,2,0,2,0,0,0,0,0,0,0
Adivasi Pragati Mandal Sanchalit Com Godavari Shamrao Parulekar College of Arts Talasari TalukaTalasari DistThane: 401 606 (Id: C-33646),7,4,0,0,0,0,0,0,0,0,0,0,0,0
"Adivasi Research and Educational Institute, Queens Garden, Pune 411001 (Id: C-41527)",25,11,6,0,0,1,3,3,0,0,0,0,0,0
Adiyaman College of Engineering (Id: C-37105),212,106,11,11,1,2,157,76,0,0,3,5,3,5
"A.D.M. College for Women, Nagapattinam - 611 001. (Id: C-35805)",0,72,0,10,0,0,0,59,0,0,0,2,0,3
"Administrative Service Degree College, Nagpur (Id: C-16192)",4,3,0,0,1,0,2,1,0,0,0,0,0,0
"Adoni Arts & Science College (PG), Adoni (Id: C-26278)",7,2,2,1,0,0,1,0,0,0,1,0,0,0
"A. D. Patel Institute Of Technology (001), Karamsad (Id: C-176)",108,21,1,0,0,0,5,0,0,0,1,1,1,0
A.D.P. College (Id: C-17113),42,30,5,3,3,1,8,9,0,0,10,0,0,0
Advanced College of Management 283-MBA (Id: C-6337),6,4,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Information & Management Studies 198-WBUT (Id: C-6205),18,4,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Inst. of Modern Mgmt. 132-WBUT (Id: C-6162),10,6,0,0,0,0,0,0,0,0,0,0,0,0
"Advanced Management College, 18th Km. Bannerghatta Road, Bangalore-83 (Id: C-20705)",11,7,1,1,0,0,7,2,0,0,0,0,0,0
"ADVANCE INSTITUTE OF BIOTECH AND PARAMEDICAL SCIENCES, KANPUR (Id: C-46811)",27,13,0,1,0,0,5,1,0,0,0,0,0,0
"Advance Science & Commerce College, Ujjain (Id: C-31730)",7,31,0,2,0,0,1,2,0,0,0,0,0,0
Adv. Bhagawan Keni Shikshan Prasarak Mandal Devta College of Education & Research at Kharegaon Kalwa Thane 400 605 (Id: C-33881),5,3,0,0,0,0,0,0,0,0,0,0,0,0
"ADVENT INSTITUTE OF MANAGEMENT SCIENCE & TECHNOLOGY, BUSINESS CENTER 3RD, FLOOR, 1-MADHUVAN (Id: C-39940)",1,3,0,0,0,0,0,0,0,0,0,0,0,0
Advent Institute of Management Studies Aishwarya Institute of Management & Information Technology (Id: C-25157),14,10,0,1,0,0,2,1,0,0,1,0,0,0
Adventist College of Nursing (Id: C-40127),2,8,0,0,0,0,0,0,0,0,0,0,0,0
Adv NS Ganguwar Education College (Id: C-18506),1,1,1,0,0,0,0,0,0,0,0,0,0,0
"A.D.V.S. Arts & Commerce First Grade College, Sasvehalli (Id: C-17681)",17,6,3,0,1,0,1,0,0,0,0,0,0,0
"Adv Vitthalrao Banpurvak Arts Commerce College, Malewara (Id: C-18504)",13,1,2,1,3,0,3,0,0,0,0,0,0,0
"Adv. Yadavrao Thote Memorial College, Rajura (Id: C-18708)",2,3,0,0,0,0,0,0,0,0,0,0,0,0
AECS Maruthi College of Dental Sciences (Id: C-40368),58,64,0,0,0,0,0,0,0,0,0,0,0,0
A E C S Maruthi College of Nursing (Id: C-40319),4,25,0,0,0,0,0,0,0,0,0,0,0,0
AECS Pavan College of Nursing (Id: C-40398),7,27,0,0,0,0,0,0,0,0,0,0,0,0
"AE & CS Pavan College Physical Education, Kolar-563 101. (Id: C-21083)",12,0,6,0,0,0,2,0,0,0,0,0,0,0
"AE & CS Ramapriya College of Education, Bangalore Chennai Bye pass Road, Mulbagal, Kolar District. (Id: C-20641)",7,2,1,0,1,0,5,2,0,0,0,0,0,0
"Aeronautics College, Sunabeda (Id: C-39327)",20,11,0,0,0,0,0,0,0,0,0,0,0,0
AES College of Education (Id: C-25856),4,5,0,0,0,0,0,0,0,0,1,2,0,0
"A.E.S.College, Tarbha (Id: C-40990)",8,4,0,0,0,0,1,0,0,0,0,0,0,0
AES INSTITUTE OF COMPUTER STUDIES (Id: C-18),6,4,0,0,0,0,0,0,0,0,0,0,0,0
"AES National College, Gowribidanur-561208 (Id: C-20792)",16,5,3,1,2,0,7,1,0,0,2,1,0,0
AET Arts & Science College (Id: C-9504),7,28,3,1,0,0,4,26,0,0,0,0,0,0
"AET College of Education,Swarnasandra (Id: C-17429)",6,4,4,2,0,0,2,2,0,0,0,0,0,2
"Afzalgarh Mahavidyalaya, Afzalgarh (Id: C-13416)",12,5,2,0,0,0,4,2,0,0,0,0,0,0
"Agarala Eswsar Reddy MBA College, Ramapuram, Tirupati (Id: C-27721)",11,6,0,0,0,0,0,0,0,0,1,0,0,0
Agarapada College (Id: C-21401),29,6,1,0,0,0,2,0,0,0,0,0,0,0
"Agarsen Degree College, Padampur (Id: C-40649)",10,4,1,1,0,0,4,0,0,0,0,0,0,0
Agartala Government Medical College (Id: C-9587),135,30,16,0,39,6,0,0,0,0,0,0,0,0
A.G. Arts and Science College (Id: C-41111),8,15,3,2,0,0,5,11,0,0,0,0,0,0
"A.G.B. First Grade College, Davangere (Id: C-17760)",5,0,0,0,0,0,0,0,0,0,0,0,0,0
A.G. College of Education (Id: C-14965),5,5,1,1,0,0,4,4,0,0,0,0,0,0
"Aggarwal College, BALLABGARH (Id: C-28160)",28,79,1,0,0,0,1,4,0,0,0,0,0,0
Aghore Kamini Prakash Chandra Mahavidyalaya (Id: C-44736),47,10,3,0,0,0,6,0,0,0,2,0,0,0
Agia College (Id: C-17315),12,7,0,1,1,1,3,1,0,0,4,1,0,1
A.G.K.M.College (Id: C-32664),15,2,4,0,0,0,2,0,0,0,0,0,0,0
"AGM Rural College of Engineering & Technology, VARUR (Id: C-1316)",22,11,0,0,0,1,0,0,0,0,1,0,4,2
Agnel Charitable Trusts Fr Conceicao Rodrigues Institute of Technology Sector 9-A Vashi Navi Mumbai 400 703 (Id: C-33530),41,82,0,0,0,0,0,1,0,0,2,1,0,0
Agnihotri College of Engineering Nagthana road (Id: C-18362),55,10,16,1,2,0,17,7,0,0,0,0,0,0
A G PATIL INSTITUTE OF TECHNOLOGY 18 2A2 PRATANAGER SOREGON ROAD (Id: C-15759),33,13,0,0,0,0,0,0,0,0,0,0,0,0
AGRA College of Education (Id: C-14994),5,4,2,1,0,0,2,2,0,0,0,0,0,0
"AGRA PUBLIC TEACHERS TRANING COLLEGE ARTONI, AGRA (Id: C-15236)",4,11,2,0,0,0,2,0,0,0,0,0,0,0
Agrasen College (Id: C-22531),22,14,7,4,0,0,4,0,1,0,0,0,0,0
Agrasen College Purani Basti (Id: C-21853),7,11,0,0,0,0,2,3,0,0,0,0,0,0
"Agrasen College, Raipur (Id: C-26389)",3,3,0,0,0,0,1,1,0,0,0,0,0,0
"Agrasen Girls College, Korba (Id: C-22396)",9,17,0,0,1,0,2,0,0,0,0,0,0,0
Agrasen Mahavidyalaya Ghanora (Id: C-21800),1,6,0,1,0,0,0,0,0,0,0,0,0,0
"AGRA VANASTHALI MAHAVIDYALAYA JHARNA NALA, CHALLESOR (Id: C-15269)",12,14,3,3,0,0,6,4,0,0,0,0,0,0
"Agrawal Kanya Mahavidhyalaya, Gangapurcity (Id: C-19431)",10,8,3,0,1,0,1,0,0,0,0,0,0,0
"Agrawal Mahila T.T. College, Gangapurcity (Id: C-19413)",12,8,0,0,0,0,1,0,0,0,0,1,0,0
"Agrawal Shikshak Prashikshan Mahavi., Jaipur (Id: C-38976)",1,7,0,0,0,0,0,1,0,0,0,0,0,0
"Agricultural College and Research Institute, Coimbatore (Id: C-44926)",28,62,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Agricultural College and Research Institute, Madurai (Id: C-44925)",44,14,3,4,0,1,19,5,0,0,1,0,0,0
"Agricultural College and Research Institute, Thoothukkudi (Id: C-44918)",65,20,NA,NA,NA,NA,NA,NA,0,0,2,1,1,0
"Agricultural Development Trusts Sharadabai Pawar Mahila Arts, Commerce & Science College, Pune (Id: C-42187)",26,15,7,5,1,0,6,1,0,0,1,0,0,0
"Agricultural Engineering College and Research Institute, Coimbatore (Id: C-44924)",36,18,1,0,0,0,34,18,1,2,0,0,0,0
"Agricultural Engineering College and Research Institute, Tiruchirappalli (Id: C-44929)",18,6,4,1,0,0,14,5,0,0,1,0,0,0
"Agriculture College, GKVK,Bangalore (Id: C-36456)",174,23,30,2,3,1,122,13,0,0,2,0,0,0
"Agriculture College, Hassan (Id: C-36457)",25,9,3,5,4,0,5,0,0,0,0,0,0,0
"Agriculture College, V C Farm, Mandya (Id: C-36459)",34,10,9,1,4,2,15,7,0,0,0,1,0,0
A.G. & S.G.S. COLLEGE (Id: C-25309),29,15,9,3,0,1,7,4,0,0,0,0,1,1
A. G. Teachers College (Id: C-5897),5,2,1,0,0,0,2,0,0,0,0,0,0,0
Ahilya Bai College of Nursing (Id: C-22469),0,14,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Ahir College, Rewari. (Id: C-28311)",13,7,0,1,0,0,0,0,0,0,0,0,0,0
Ahmedabad Arts and Commerce College (Id: C-5889),10,4,0,0,1,1,3,0,0,0,0,0,0,0
"AHMEDABAD DENTAL COLLEGE, RANCHARADA (Id: C-47895)",97,117,0,0,0,0,0,0,0,0,2,4,0,0
AHMEDABAD HOMOEPETHIC MEDICAL COLLEGE (Id: C-6798),33,19,2,0,0,0,3,0,0,0,1,0,0,0
"AHMEDABAD INSTITUTE OF MEDICAL SCIENCES, LAPKAMAN (Id: C-47881)",9,6,0,0,0,0,1,2,0,0,1,0,1,0
"AHMEDABAD INSTITUTE OF NURSING SCIENCES, LAPKAMAN (Id: C-47882)",1,18,0,1,0,1,0,3,0,0,0,1,1,0
"AHMEDABAD INSTITUTE OF TECH, (002) AHMEDABAD (Id: C-407)",70,46,0,0,0,0,0,0,0,0,1,2,0,0
"Ahmedabad Institute Of Technology Gota, ( 701 )Ahmedabad (SFI) (Id: C-86)",4,8,0,0,0,0,0,0,0,0,0,0,0,0
"Ahmed Garib Unani Medical College, Akkalkuwa, (Id: C-13871)",23,7,0,0,0,0,0,0,0,0,23,7,0,0
"Ahmednagar Homoeopathy College, Ahmednagar (Id: C-13958)",22,18,0,0,0,0,0,0,0,0,0,0,0,0
"AHMEDNAGAR JILHA MARATHA VIDYA PRASARAK SAMAJS AHMEDNAGAR JANATA ARTS AND SCIENCE COLLEGE, RUICHHATTISI, AHMEDNAGAR (Id: C-45864)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ahmednagar Jilha Maratha Vidya Prasarak Samaj's Ahmednagar Shri.Chhatrapati Shivaji Maharaj College of Engineering, Nepti, Address: Nepti Nagar Kalyan Road, Ahmednagar, Taluka: Ahmednagar, District: Ahmednagar (Id: C-42126)",13,5,1,0,0,0,2,0,0,0,0,0,0,0
"Ahmednagar Jilha Maratha Vidya Prasarak Samajs Arts & Science College,Deolali,Pravara, Tal. Rahuri,Dist. Ahmednagar (Id: C-42173)",18,7,3,0,0,0,2,3,0,0,0,0,0,0
"Ahmednagar Jilha Maratha Vidya Prasarak Samajs Institute of Hotel Management and Catering Technology, Ahmednagar 414001 (Id: C-42011)",14,2,0,0,0,0,5,1,0,0,0,0,0,0
"Ahmednagar Jilha Maratha Vidya Prasarak Samaj's New Arts,Commerce & Science College, Ahmednagar 414001 (Id: C-41908)",98,26,7,1,2,0,6,5,1,0,0,0,0,0
"Ahmednagar Jilha Maratha Vidya Prasarak Samaj's New Arts,Commerce & Science College,Parner,Dist Ahmednagar 414302 (Id: C-42184)",37,12,2,0,1,0,2,0,3,0,0,0,0,0
"Ahmednagar Jilha Maratha Vidya Prasarak Samaj's New Arts,Commerce & Science College, Shevgaon, Dist. Ahmednagar 414502 (Id: C-41346)",26,1,4,1,0,0,1,0,15,0,0,0,0,0
"Ahmednagar Jilha Maratha Vidya Prasarak Samaj's New Law College, Ahmednagar 414001 (Id: C-41858)",25,2,2,0,0,0,3,0,0,0,0,0,0,0
"Ahmednagar Jilha Maratha Vidya Prasarak Samajs Takli Dhokeshwar College of Arts,Takli Dhokeshwar, Tal. Parner, Dist.Ahmednagar 414304 (Id: C-41808)",20,7,3,1,1,0,0,1,0,0,1,0,0,0
"AI-Azhar College of Arts and Science, Perumpillichira P.O., Thodupuzha - 685 605 (Id: C-11838)",13,38,1,2,0,2,7,14,0,0,3,9,0,0
"A.I.J.H.M.College, Rohtak. (Id: C-28343)",61,42,3,0,0,0,3,2,0,1,0,0,0,0
"Aiman College of Arts & Science for Women, K. Sathanur , Tiruchirappalli - 620 021. (Id: C-35778)",0,49,NA,NA,NA,NA,NA,NA,0,0,0,28,0,19
"AIMS College of Management & Technology, Bakrol (Id: C-1226)",11,9,0,0,0,0,0,0,0,0,1,0,0,0
"AIR FORCE TECHNICAL COLLEGE, BANGALORE (Id: C-47267)",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIR FORCE TEST PILOTS SCHOOL, BANGALORE (Id: C-47268)",12,0,0,0,0,0,0,0,0,0,0,0,0,0
"AISECT College of Prof. Studies, Gumasta Nagar, Indore (Id: C-29652)",6,9,0,0,0,0,0,0,0,0,0,0,0,0
"AISHWARIYA TEACHERS TRAINING COLLEGE, ADARSH NAGAR, UNIVERSITY ROAD (Id: C-39892)",3,5,1,0,0,0,0,1,0,0,1,0,0,0
"Aishwarya College, A-9, Hudco Quarters, Kamala Nehru Nagar, Jodhpur (Id: C-37183)",10,5,1,1,0,0,0,0,0,0,0,0,0,0
"AISHWARYA COLLEGE OF ENGINEERING AND TECHNOLOGY, ERODE (Id: C-45289)",11,9,0,0,0,0,0,0,0,0,0,0,0,0
Aishwarya College of Management & Research Center-ACMRC (Id: C-25084),7,2,1,1,0,0,0,0,0,0,0,0,0,0
"Aishwarya College, Sojat Road (Id: C-30909)",4,4,0,0,0,0,0,1,0,0,0,0,0,0
"Aishwarya First Grade College, #42/65, Gnanaganganagar, Near Jnanabharathi, Ring Road, Bangalore -56, (Id: C-20978)",12,9,2,0,0,0,9,5,0,0,2,0,0,0
Aishwarya Institute of Management & Information Technology (Id: C-25251),4,10,1,0,0,0,0,0,0,0,0,1,0,3
"Aishwarya Institute of Management Studies, #42/65, Gnanaganganagar, Near Jnanabharathi, Ring Road, Bangalore -56, (Id: C-20699)",6,4,0,0,0,0,3,3,0,0,1,0,0,0
Ajanta Shikshan Sanstha's Baburao Kale College of Arts (Id: C-34490),11,4,1,2,1,0,1,1,0,0,0,0,0,0
"Ajara Mahavidyalaya, AJARA (Id: C-11006)",24,3,6,1,0,0,1,0,0,0,0,0,0,0
"AJAY KUMAR GARG ENGINEERING COLLEGE, GHAZIABAD (Id: C-46109)",112,81,3,1,0,0,22,5,0,0,0,0,0,0
Ajay Satya Prakash Institute of Higher Learning (Id: C-33361),0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. COLLEGE OF EDUCATION (Id: C-25284),6,1,3,0,0,0,1,0,0,0,0,0,1,0
A J College of Nursing (Id: C-40149),5,16,0,0,0,0,0,0,0,0,0,0,0,0
"A.J. COLLEGE OF NURSING, CHENNAI (Id: C-45446)",0,27,0,0,0,0,0,0,0,0,0,2,0,0
"A.J. COLLEGE OF PHYSIOTHERAPY, CHENNAI (Id: C-45447)",9,15,0,0,0,0,9,14,0,0,0,0,4,2
"A.J. College of Science and Technology, Thonnakkal, Thiruvananthapuram (Id: C-43749)",11,26,NA,NA,NA,NA,NA,NA,0,0,6,11,1,0
AJET COLLEGE OF EDUCATION RADHANPUR (Id: C-6714),5,3,3,1,0,0,0,1,0,0,0,0,0,0
AJ Institute of Dental Sciences (Id: C-40093),44,48,0,0,0,0,0,0,0,0,1,0,0,0
"A.J. Institute of Management, Kottara Chowki, Bypass, Ashoknagar, Mangalore (Id: C-16890)",8,4,0,0,0,0,1,1,0,0,0,0,1,0
A J Institute of Medical Sciences (Id: C-40246),193,71,0,0,0,0,0,0,0,0,0,0,0,0
"A J Inst. of Medical Sciences, (MLT) (Id: C-40086)",35,48,0,0,0,0,0,0,0,0,0,3,0,2
A.J. KALASALA (Id: C-25290),17,4,5,1,0,0,4,1,0,0,0,0,0,0
AJK College of Arts and Science (Id: C-41080),84,0,1,0,0,0,59,0,0,0,NA,NA,NA,NA
AJK Institute of Management (Id: C-37098),17,0,0,0,0,0,15,0,0,0,NA,NA,NA,NA
AKADAMI NURSING COLLEGE (Id: C-34735),25,16,0,0,2,0,1,0,0,0,3,0,0,0
"Akahdeep P G Mahila Mahavidyalaya, Jaipur (Id: C-38551)",7,16,1,3,0,0,1,3,0,0,1,1,0,0
"Akal Degree College for Women, Sangrur (Id: C-22152)",4,35,0,0,0,0,0,0,0,0,0,0,0,0
"Akal Degree College, Mastuana, Sangrur (Id: C-22110)",22,19,0,0,0,0,0,0,0,0,0,0,0,0
Akar Adhyapan Mandir (Id: C-5909),6,2,1,0,0,0,1,1,0,0,0,0,0,0
