Sr. No.,State Name,University District,Univesity Name / Body Type,Institution District,College/Stand Alone Institution,Student Enrolment - Male,Student Enrolment - Female,Student Enrolment - Total,Teaching Staff (Excluding - Male),Teaching Staff (Excluding - Female),Teaching Staff (Excluding - Total),PTR (Equal to 9/12)
1,Andaman and Nicobar Islands,Puducherry,College Institution,Nicobars,Dr.B.R. Ambedkar Institute of Technology,934,379,1313,38,18,56,23
2,Andaman and Nicobar Islands,Puducherry,College Institution,Nicobars,Zoological Survey of India,5,0,5,2,1,3,1
3,Andaman and Nicobar Islands,Puducherry,College Institution,Nicobars,Tagore Government College of Education,209,169,378,5,2,7,54
4,Andaman and Nicobar Islands,Puducherry,College Institution,Nicobars,Regional Medical Research Institute (I.C.M.R.),11,1,12,8,1,9,1
5,Andhra Pradesh,Krishna,College Institution,Krishna,A.J. COLLEGE OF EDUCATION,85,50,135,6,1,7,19
6,Andhra Pradesh,Anantapur,College Institution,Chittoor,"Siddhartha Institute of Science and Technology, Puttur",1110,345,1455,35,26,61,23
7,Andhra Pradesh,Y.S.R.,College Institution,Y.S.R.,Chaitanya Degree College,82,46,128,12,0,12,10
8,Andhra Pradesh,Guntur,College Institution,Guntur,Nalanda College of Education,95,55,150,4,4,8,18
9,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Dr. C.R.R. College of Education Sydapuram (M), Nellore (Dt.)",100,53,153,6,1,7,21
10,Andhra Pradesh,Visakhapatnam,College Institution,East Godavari,Siddardha College Of Education,100,48,148,6,3,9,16
11,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Govt. Degree College, Rapur",83,28,111,4,4,8,13
12,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,Velankini Institute of Management Studies,96,22,118,9,2,11,10
13,Andhra Pradesh,Krishna,College Institution,Krishna,SRI SARADA DEGREE COLLEGE,178,80,258,5,3,8,32
14,Andhra Pradesh,Guntur,College Institution,Guntur,Sri Venkateswara Degree College,363,142,505,9,4,13,38
15,Andhra Pradesh,Guntur,College Institution,Guntur,Mahatma Gandhi College,942,549,1491,9,11,20,74
16,Andhra Pradesh,Krishna,College Institution,Krishna,MRR ARTS and SCIENCE COLLEGE,50,17,67,5,4,9,7
17,Andhra Pradesh,Guntur,College Institution,Guntur,R.V.R. and J.C. College of Engineering,3746,1367,5113,50,13,63,81
18,Andhra Pradesh,Guntur,College Institution,Prakasam,"Sri Harshini Degree College, Martur",397,186,583,13,4,17,34
19,Andhra Pradesh,Kurnool,College Institution,Kurnool,"The Adoni Arts and Science College,",1957,369,2326,39,13,52,44
20,Andhra Pradesh,Guntur,College Institution,Guntur,S.G.K. Oriental College,77,50,127,4,2,6,21
21,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"DRW College, Gudur",526,526,1052,2,30,32,32
22,Andhra Pradesh,Guntur,College Institution,Guntur,Dr.K.V.K. Sanskrit College,11,2,13,5,0,5,2
23,Andhra Pradesh,Krishna,College Institution,Krishna,TRIVENI MAHILA DEGREE COLLEGE,436,436,872,6,10,16,54
24,Andhra Pradesh,Guntur,College Institution,Prakasam,S M Y College of Education,96,50,146,6,2,8,18
25,Andhra Pradesh,Krishna,College Institution,Krishna,ST. ANDREWS COLLEGE OF EDUCATION,100,65,165,7,3,10,16
26,Andhra Pradesh,Chittoor,College Institution,Chittoor,"Sidhartha Institute of Higher learning, Madanapalle Urban",508,234,742,18,4,22,33
27,Andhra Pradesh,Krishna,College Institution,Krishna,VISWA JYOTHI COLLEGE OF EDUATION,96,50,146,4,2,6,24
28,Andhra Pradesh,Guntur,College Institution,Guntur,Andhra Muslim College,260,116,376,15,11,26,14
29,Andhra Pradesh,Krishna,College Institution,Krishna,SRI SAI MAHITHA DEGREE COLLEGE,121,65,186,5,8,13,14
30,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Sri Chandra Reddy Degree College, Nellore",1040,413,1453,58,8,66,22
31,Andhra Pradesh,Guntur,College Institution,Guntur,"Prabhala PG College for Women, Nagarjuna Nagar",20,20,40,6,4,10,4
32,Andhra Pradesh,East Godavari,College Institution,Krishna,"Vikas College of Engineering and Technology, Nunna, Vijayawada (Rural), PIN-521212(CC-NQ)",761,269,1030,80,34,114,9
33,Andhra Pradesh,Krishna,College Institution,Krishna,SAV and NVJR DEGREE COLLEGE,268,148,416,11,1,12,34
34,Andhra Pradesh,East Godavari,College Institution,Guntur,"Don Bosco Institute of Technology and Science(DBITS), 5th Mile, Pulladigunta, (Vil)Vatticherukuru PIN-522 017 (CC-GK)",638,96,734,61,25,86,8
35,Andhra Pradesh,Guntur,College Institution,Guntur,Vision Institute of Sciences and Technology,77,26,103,8,4,12,8
36,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,SANTHINIKETAN DEGREE COLLEGE,212,92,304,18,2,20,15
37,Andhra Pradesh,East Godavari,College Institution,Guntur,"E V M College of Engineering and Technology, Jonnalagadda, Narasaraopet-522601(CC-AR)",748,254,1002,55,34,89,11
38,Andhra Pradesh,Guntur,College Institution,Guntur,M.A.M College of Education,90,44,134,8,0,8,16
39,Andhra Pradesh,East Godavari,College Institution,Guntur,"Newton's Institute of Engineering, Aluguraja Pally(V), Koppunoor Post, Macherla(M), PIN-522426 (CC-A1)",1220,262,1482,104,25,129,11
40,Andhra Pradesh,Guntur,College Institution,Guntur,St Mark NTR College of Education,89,50,139,6,1,7,19
41,Andhra Pradesh,Guntur,College Institution,Guntur,Sri Mahaveer Memorial Jain Degree College,300,126,426,17,1,18,23
42,Andhra Pradesh,Anantapur,College Institution,Kurnool,"Santhiram College of Pharmacy, Nandyal",234,127,361,20,3,23,15
43,Andhra Pradesh,Krishna,College Institution,Krishna,D.V.R. DEGREE COLLEGE,249,95,344,19,3,22,15
44,Andhra Pradesh,Guntur,College Institution,Guntur,Dr. K.S.P.R College of Education,193,95,288,9,3,12,24
45,Andhra Pradesh,Guntur,College Institution,Guntur,"A.S.N Pharmacy College, Tenali",237,164,401,23,6,29,13
46,Andhra Pradesh,Visakhapatnam,College Institution,Vizianagaram,"Pragathi Degree College, Kottavalasa, Vizianagaram",713,300,1013,19,7,26,38
47,Andhra Pradesh,Guntur,College Institution,Guntur,"Vagdevi Degree College, Rentachintala",132,36,168,7,6,13,12
48,Andhra Pradesh,Guntur,College Institution,Guntur,K.C Reddy Institute of Pharmaceutical Sciences,255,100,355,18,8,26,13
49,Andhra Pradesh,Guntur,College Institution,Guntur,Venigalla Jayasri Ram College,48,8,56,6,2,8,7
50,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Alexa College of Education,Venkatachalam",100,57,157,3,5,8,19
51,Andhra Pradesh,Anantapur,College Institution,Y.S.R.,P.Rami Reddy Memorial College of Pharmacy,253,135,388,22,7,29,13
52,Andhra Pradesh,East Godavari,College Institution,Guntur,"Krishnaveni Engineering College for Women, Kesanupalli(Post), Narasaraopet, PIN - 522 601(CC-KC)",792,792,1584,42,23,65,24
53,Andhra Pradesh,Krishna,College Institution,Krishna,SYED APPALASWAMY COLLEGE,343,107,450,5,1,6,75
54,Andhra Pradesh,NA,College Institution,Guntur,"Viswanadh Institute of Medical Sciences College of B.Sc MLT, Guntur",65,46,111,16,3,19,5
55,Andhra Pradesh,Guntur,College Institution,Prakasam,K.L.R. Degree College,37,19,56,3,0,3,18
56,Andhra Pradesh,Anantapur,College Institution,Y.S.R.,S V PG COLLEGE,24,8,32,14,9,23,1
57,Andhra Pradesh,Chittoor,College Institution,Chittoor,"K.K.C. College of Law, Puttur",499,62,561,14,1,15,37
58,Andhra Pradesh,Krishna,College Institution,Krishna,MRR COLLEGE OF EDUCATION,100,54,154,5,4,9,17
59,Andhra Pradesh,East Godavari,College Institution,Guntur,"Newtons Institute of Science and Technology, Alugurajupalli Village, Koppunur Post, Macherla Mandal,PIN-522426(CC-9H)",192,22,214,34,5,39,5
60,Andhra Pradesh,East Godavari,College Institution,West Godavari,"Gayatri Institute of Engineering and Technology, Aswaraopet road, Jangareddygudem. PIN -534447(CC-7A)",498,137,635,25,11,36,17
61,Andhra Pradesh,Krishna,College Institution,Krishna,IMMACULATE DEGREE COLLEGE,110,55,165,14,4,18,9
62,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"NBKR College of Education, Vidyanagar",198,124,322,15,3,18,17
63,Andhra Pradesh,Krishna,College Institution,Krishna,PRABHAS DEGREE COLLEGE,2357,931,3288,25,28,53,62
64,Andhra Pradesh,Guntur,College Institution,Prakasam,Y.A. Govt. College for Women,370,359,729,8,11,19,38
65,Andhra Pradesh,Y.S.R.,College Institution,Y.S.R.,Geethanjali Degree College,191,84,275,15,3,18,15
66,Andhra Pradesh,Krishna,College Institution,Krishna,SRI DURGA MALLESWARA SAMSKRUTHANDRA KALASALA,44,32,76,6,3,9,8
67,Andhra Pradesh,Krishna,College Institution,Krishna,MONTESSORI MAHILA COLLEGE OF EDUCATION,150,150,300,2,3,5,60
68,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Govt. Degree College, Udayagiri",325,129,454,22,2,24,18
69,Andhra Pradesh,NA,College Institution,Guntur,"Kavuri Subba Rao College of Nursing, Guntur",193,193,386,0,38,38,10
70,Andhra Pradesh,Guntur,College Institution,Guntur,"Vagdevi College of Pharmacy, Gurazala",295,126,421,22,6,28,15
71,Andhra Pradesh,Chittoor,College Institution,Chittoor,"College of Dairy Technology, Tirupati",63,23,86,12,1,13,6
72,Andhra Pradesh,Guntur,College Institution,Prakasam,BMRM Jhansi B.Ed College,98,45,143,8,0,8,17
73,Andhra Pradesh,Guntur,College Institution,Prakasam,"Vivekananda College of Education, Kandukur",114,58,172,9,1,10,17
74,Andhra Pradesh,Guntur,College Institution,Prakasam,"Yaswanth College of Education,Bestavaripeta",98,29,127,6,2,8,15
75,Andhra Pradesh,East Godavari,College Institution,Prakasam,"Addanki Institute of Management and Science, Near Singara Konda, NRT Road, North Addanki-523201 (CC-8D)",115,52,167,10,13,23,7
76,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,S.S.R. DEGREE COLLEGE,308,87,395,23,1,24,16
77,Andhra Pradesh,Guntur,College Institution,Prakasam,Bharathi Degree College,717,394,1111,21,10,31,35
78,Andhra Pradesh,Chittoor,College Institution,Krishna,"NTR College of Veterinary Science, Gannavaram",379,165,544,24,18,42,12
79,Andhra Pradesh,East Godavari,College Institution,Krishna,"Nimra College of Pharmacy, Ibrahimpatnam, Vijayawada, PIN-521456(CC-9A)",313,140,453,36,10,46,9
80,Andhra Pradesh,Guntur,College Institution,Guntur,P.N.C and K.R. College,901,253,1154,50,17,67,17
81,Andhra Pradesh,Guntur,College Institution,Prakasam,"Sri Gowthami Degree College, Darsi",311,194,505,30,0,30,16
82,Andhra Pradesh,Guntur,College Institution,Guntur,"Mother Theresa Womens Degree College, Karampudi",21,8,29,5,5,10,2
83,Andhra Pradesh,Guntur,College Institution,Prakasam,National Minority Degree College,91,40,131,4,3,7,18
84,Andhra Pradesh,Guntur,College Institution,Prakasam,"Nagarjuna Institute of Management Studies, Chekurapadu",123,38,161,21,4,25,6
85,Andhra Pradesh,Kurnool,College Institution,Kurnool,"Silver Jubilee Govt. Degree College (PG), Kurnool",706,111,817,23,5,28,29
86,Andhra Pradesh,Guntur,College Institution,Prakasam,G.V.S.M. GOVT. Degree College,42,16,58,5,0,5,11
87,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,DR. C.L. NAIDU COLLEGE OF EDUCATION,100,61,161,6,2,8,20
88,Andhra Pradesh,Anantapur,College Institution,Anantapur,"REDO Sai Ram College of Education, Penukonda",120,67,187,9,2,11,17
89,Andhra Pradesh,Visakhapatnam,College Institution,East Godavari,Y.R.College of Arts and Science and Tech,466,243,709,14,8,22,32
90,Andhra Pradesh,Chittoor,College Institution,Chittoor,"Sri Vidya Degree College Nagari By-pass Road, Puttur",332,140,472,17,3,20,23
91,Andhra Pradesh,Guntur,College Institution,Guntur,Acharya N.G.Ranga College of Education,98,63,161,5,3,8,20
92,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Raos Institute of Computer Sciences Chemudugunta, Bujabuja Nellore",42,15,57,18,7,25,2
93,Andhra Pradesh,East Godavari,College Institution,Krishna,"Montessori Siva Sivani Institute of Science and Technology college of Pharmacy , Gurrajupalem, Mylavaram, PIN-521230.(CC-9G)",120,61,181,14,11,25,7
94,Andhra Pradesh,Guntur,College Institution,Prakasam,"Sri Raja Rajeswari College of Education, Giddalur",106,57,163,8,0,8,20
95,Andhra Pradesh,NA,College Institution,Krishna,"VIMS Mother Theresa College of Nursing, Vijayawada",185,155,340,0,22,22,15
96,Andhra Pradesh,East Godavari,College Institution,Prakasam,"Kamala institute of Management Studies, Krishnapuram Village, Markapuram Mandal, Pin-523316.(CC-2C)",23,7,30,7,2,9,3
97,Andhra Pradesh,Krishna,College Institution,Krishna,DR. K.K.R. GOWTHAM COLLEGE OF EDUCATION,96,65,161,5,2,7,23
98,Andhra Pradesh,East Godavari,College Institution,Krishna,"Sri Vani School of Management (MBA), Chevuturu (V), G Konduru Mandal,Pin- 521230(CC-7L)",108,21,129,7,6,13,9
99,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"SKR Govt. Degree College, Gudur",145,17,162,13,5,18,9
100,Andhra Pradesh,Guntur,College Institution,Prakasam,Qis College of Education,99,54,153,5,2,7,21
101,Andhra Pradesh,Anantapur,College Institution,Y.S.R.,"Vignana Bharathi Institute of Technology, Proddatur",608,140,748,41,8,49,15
102,Andhra Pradesh,Guntur,College Institution,Guntur,A.L.College of Education,193,107,300,8,10,18,16
103,Andhra Pradesh,Chittoor,College Institution,Chittoor,"Sri Kalahasthiswara Institute of Infor. and Manag. Sciences, Sri Kalahasthi.",325,86,411,28,10,38,10
104,Andhra Pradesh,East Godavari,College Institution,West Godavari,"Vijetha Institute of Technology and Science (VITS), Palakol Road, Narsapur, PIN -534275(CC-7C)",351,83,434,23,19,42,10
105,Andhra Pradesh,Visakhapatnam,College Institution,Visakhapatnam,Emmanuel College of Education,120,68,188,7,3,10,18
106,Andhra Pradesh,Guntur,College Institution,Prakasam,G.R.R. and T.P.R. Degree College,89,23,112,16,1,17,6
107,Andhra Pradesh,Visakhapatnam,College Institution,Visakhapatnam,A.Q.J. Centre for P.G. Studies,195,41,236,14,16,30,7
108,Andhra Pradesh,East Godavari,College Institution,Visakhapatnam,"BABA Institute of Technology and Science, P.M. Palem, Bakkannapalem Village, Madhurawada, PIN-530048 (CC-NR)",1264,281,1545,39,21,60,25
109,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Veda and Sanskrit College, Mulapet, Nellore",135,81,216,3,1,4,54
110,Andhra Pradesh,East Godavari,College Institution,East Godavari,"Kakinada Institute of Technological Sciences,A Agraharam(V), Ramachandrapuram-533255 (CC-JP)",1029,175,1204,58,24,82,14
111,Andhra Pradesh,Guntur,College Institution,Prakasam,M.G College of Education,95,37,132,5,3,8,16
112,Andhra Pradesh,Krishna,College Institution,Krishna,"VIKAS DEGREE COLLEGE, MANDAVALLI",160,91,251,13,2,15,16
113,Andhra Pradesh,Anantapur,College Institution,Anantapur,"Sri Sai College of Engineering and Technology, Loluru. Anantapur",404,117,521,60,30,90,5
114,Andhra Pradesh,Guntur,College Institution,Prakasam,"Rahul Subramanyam Memorial Instt of Management Studies, Chirala",76,17,93,6,2,8,11
115,Andhra Pradesh,Krishna,College Institution,Krishna,SAI DEGREE COLLEGE,391,154,545,13,1,14,38
116,Andhra Pradesh,East Godavari,College Institution,Krishna,"DJR Institute of Engineering And Technology, Velpur (V), Via Godavalli, Vijayawada, PIN-521104(CC-JC)",437,109,546,39,15,54,10
117,Andhra Pradesh,Guntur,College Institution,Guntur,Matrusri Oriental College,96,54,150,5,1,6,25
118,Andhra Pradesh,Guntur,College Institution,Prakasam,TCMT College,0,0,0,4,2,6,6
119,Andhra Pradesh,Krishna,College Institution,Krishna,NARAYANA MEMORIAL DEGREE COLLEGE,295,116,411,9,3,12,34
120,Andhra Pradesh,Krishna,College Institution,Krishna,A.N.R. P.L. ARTS and SCIENCE COLLEGE,367,202,569,10,3,13,43
121,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Swarnandhra Bharathi Degree College, Gudur",489,189,678,11,5,16,42
122,Andhra Pradesh,Guntur,College Institution,Guntur,A.C.College (Day),981,181,1162,52,22,74,15
123,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Pamidi Institute of Science and Technology, Musunur",49,12,61,7,1,8,7
124,Andhra Pradesh,East Godavari,College Institution,Vizianagaram,"Coastal Institute of Technology and Management, Narapam (V), Veerabhadrapuram (P), Kothavalasa (M), Pin-535183 (CC-JA)",672,130,802,25,26,51,15
125,Andhra Pradesh,Krishna,College Institution,Krishna,Y.V. RAO SIDDHARTHA COLLEGE OF EDUCATION,156,114,270,6,7,13,20
126,Andhra Pradesh,Krishna,College Institution,Krishna,T.S.R and E.R.R.GOVT. DEGREE COLLEGE,56,20,76,4,3,7,10
127,Andhra Pradesh,Anantapur,College Institution,Anantapur,"Sri Venkateswara Institute of Technology, Hampapuram,Anantapur",715,235,950,56,12,68,13
128,Andhra Pradesh,Guntur,College Institution,Guntur,"Palnadu College of Education, Narayanapuram",95,37,132,7,1,8,16
129,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Velankini College of Education, Kandrika, Venkatachalam (M)Nellore Dist",137,70,207,14,1,15,13
130,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"V.R.College of EducationTrunk Road,NELLORE",99,67,166,10,1,11,15
131,Andhra Pradesh,Krishna,College Institution,Krishna,SRI KOTA RAGHAVAIAH DEGREE COLLEGE,217,88,305,6,3,9,33
132,Andhra Pradesh,East Godavari,College Institution,Krishna,"Vijaya Institute of Pharmaceutical Sciences for Women, Enkepadu, Vijayawada-521108(CC-7N)",128,128,256,5,23,28,9
133,Andhra Pradesh,Anantapur,College Institution,Y.S.R.,"Annamacharya P.G. College of Computer Studies, Rajampet",380,117,497,34,19,53,9
134,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"S.Chaavan Institute of Computer Applications, Muthukur",446,114,560,26,15,41,13
135,Andhra Pradesh,Guntur,College Institution,Prakasam,"Government Degree College, Yerragondapalem",227,59,286,8,3,11,26
136,Andhra Pradesh,East Godavari,College Institution,Visakhapatnam,"Viswanandha Institute of Pharmaceutical Sciences, Mindivanipalem, Sontam Panchayat, Anandapuram Mandal, PIN-531173 (CC-PK)",157,101,258,5,10,15,17
137,Andhra Pradesh,East Godavari,College Institution,Guntur,"A.S.N. Women's Engineering College, Kamala Educational Society, Burripalem Road, Tenali-522201(CC-JT)",663,663,1326,22,19,41,32
138,Andhra Pradesh,Guntur,College Institution,Guntur,B.R College of Education,100,57,157,4,5,9,17
139,Andhra Pradesh,East Godavari,College Institution,Krishna,"SAROJINI INSTITUTE OF TECHNOLOGY, Telaprolu (V), Unguturu(M), PIN- 521109(CC-MF)",800,229,1029,62,13,75,13
140,Andhra Pradesh,East Godavari,College Institution,Krishna,"Sarada Institute of Technology and Management (MBA exclusively for Women) D.No. 24-5-6, Gandhi Nagar, Vijayawada-520003(CC-8F)",55,55,110,0,5,5,22
141,Andhra Pradesh,East Godavari,College Institution,Guntur,"Sri Subbaraya and Narayana College, Palnadu Road, Narasaraopeta,PIN- 522601 (CC-2P)",98,49,147,23,3,26,5
142,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Universal Christian College of Education, Indukurupet, GNT RoadNear RTC Bus Stand, Nellore- 524 003",92,56,148,2,6,8,18
143,Andhra Pradesh,Guntur,College Institution,Prakasam,Sriji Degree College,327,176,503,25,25,50,10
144,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Sree Sai Degree College, Kavali",316,132,448,11,2,13,34
145,Andhra Pradesh,East Godavari,College Institution,Krishna,"Paladugu Parvathi Devi College of Engineering and Technology, Surampalli(v), Gannavaram(M), PIN-520001(CC-KR).",703,185,888,31,16,47,18
146,Andhra Pradesh,East Godavari,College Institution,East Godavari,"V.S.LAKSHMI COLLEGE OF ENGINEERING FOR WOMEN,SOUTH CAMPUS, N.H.214, KAKINADA- YANAM ROAD, MATLAPALEM, 533461(CC-NJ)",753,753,1506,16,23,39,38
147,Andhra Pradesh,East Godavari,College Institution,Visakhapatnam,"Vignan's Institute of Engineering for Women, Kapujaggarupeta, Vadlapudi Post, Gajuwaka, PIN-530049(CC-NM)",1326,1326,2652,43,38,81,32
148,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,SURYA TEJA DEGREE COLLEGE,162,70,232,13,3,16,14
149,Andhra Pradesh,Guntur,College Institution,Prakasam,"G.R.K Degree College, Maddipadu",505,234,739,9,7,16,46
150,Andhra Pradesh,Guntur,College Institution,Prakasam,Adarsa College of Education,160,70,230,7,0,7,32
151,Andhra Pradesh,East Godavari,College Institution,Prakasam,"QIS College of Engineering and Technology, Vengamukkapalem (Village), Pondur Road, Ongle(M),PIN-523 272.(CC-49)",2706,950,3656,113,72,185,19
152,Andhra Pradesh,Guntur,College Institution,Prakasam,Sri Gayatri Vidya Parishad Degree College,427,185,612,11,2,13,47
153,Andhra Pradesh,East Godavari,College Institution,West Godavari,"Swarnandhra Institute of Engineering and Technology, Seetharampuram, Narsapur, PIN-534280(CC-EM)",1386,508,1894,33,34,67,28
154,Andhra Pradesh,Chittoor,College Institution,Chittoor,"NTR Govt. Degree College, Valmikipuram Rural",653,309,962,18,2,20,48
155,Andhra Pradesh,East Godavari,College Institution,Guntur,"Loyola Institute of Technology and Management, Loyola Nagar, Dhulipalla (Village), Sattenapalli (Mandal), PIN-522412(CC-A4)",1328,307,1635,77,34,111,14
156,Andhra Pradesh,Anantapur,College Institution,Anantapur,"Sri Balaji College of Education, Anantapur",100,59,159,6,2,8,19
157,Andhra Pradesh,East Godavari,College Institution,West Godavari,"Sasi Institute of Technology and Engineering, Kadakatla, Tadepalligudem, Pin-534101(CC-K6)",2208,798,3006,119,37,156,19
158,Andhra Pradesh,Chittoor,College Institution,Chittoor,"Anantha College of Law, Kesavayanagunta, Tirupati",720,68,788,14,14,28,28
159,Andhra Pradesh,Guntur,College Institution,Guntur,A.M. Reddy Memorial College of Pharmacy,197,97,294,4,1,5,58
160,Andhra Pradesh,East Godavari,College Institution,Visakhapatnam,"Gonna Institute of Information Technology and Science, Gonnavanipalem, Aganampudi, Ward No. 56, G.V.M.C, PIN- 530046 (CC-6E)",667,144,811,32,11,43,18
161,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,M.L.R. NAIDU DEGREE COLLEGE,381,140,521,24,5,29,17
162,Andhra Pradesh,East Godavari,College Institution,West Godavari,"Gayatri Group of Institutions, Aswaraopet Road, Jangareddy gudem, Pin-534447(CC-9Z)",93,26,119,24,8,32,3
163,Andhra Pradesh,East Godavari,College Institution,East Godavari,"Lenora College of Engineering, Rampachodavaram,PIN- 533288(CC-96)",400,96,496,93,21,114,4
164,Andhra Pradesh,East Godavari,College Institution,Guntur,"Haji Mohammad Khasim Saheb and Mohammad Galab Saheb College of Engineering, Kanagala, Cherukupalli Mandal, PIN- 522259(CC-2F)",184,41,225,46,9,55,4
165,Andhra Pradesh,East Godavari,College Institution,Visakhapatnam,"Chaitanya Engineering College, Chaitanya Valley, Kommadi, Madhurawada,Pin-530041(CC-L6)",1986,584,2570,71,27,98,26
166,Andhra Pradesh,Y.S.R.,College Institution,Y.S.R.,Lepakshi Degree College,636,345,981,11,7,18,54
167,Andhra Pradesh,East Godavari,College Institution,West Godavari,"GVVR INSTITUTE OF TECHNOLOGY, Vempa Road, Tundurru, Bhimavaram, PIN- 534207.(CC-JH",1394,434,1828,50,12,62,29
168,Andhra Pradesh,Guntur,College Institution,Prakasam,"Vyshnavi Degree College, Thripurantakam",39,14,53,11,5,16,3
169,Andhra Pradesh,Guntur,College Institution,Guntur,M.V.G.R. Degree College,201,34,235,18,0,18,13
170,Andhra Pradesh,Guntur,College Institution,Guntur,"Govt. Degree College, Chebrolu",170,68,238,6,3,9,26
171,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,THAMMI NAIDU VIDYA DEGREE COLLEGE,363,141,504,16,3,19,26
172,Andhra Pradesh,NA,College Institution,Guntur,"Sister Care College of Nursing, Guntur",268,268,536,2,38,40,13
173,Andhra Pradesh,East Godavari,College Institution,Krishna,"Sri Sarathi Institute of Engineering and Technology, Nuzvid, PIN-521 201.(CC-54)",1296,405,1701,85,42,127,13
174,Andhra Pradesh,Guntur,College Institution,Guntur,S.K.R.B.R. College,345,44,389,17,5,22,17
175,Andhra Pradesh,East Godavari,College Institution,Guntur,"St. Mary's Group of institutions Guntur, Chebrolu (VandM), PIN-522212 (CC-BJ)",484,146,630,94,52,146,4
176,Andhra Pradesh,Guntur,College Institution,Guntur,"M.V.R Degree College, Karlapalem",150,57,207,9,0,9,23
177,Andhra Pradesh,Anantapur,College Institution,Sri Potti Sriramulu Nellore,Vagdeve College of Pharmacy and Research,245,73,318,14,6,20,15
178,Andhra Pradesh,Visakhapatnam,College Institution,West Godavari,BEST College of Education,100,68,168,6,2,8,21
179,Andhra Pradesh,Anantapur,College Institution,Sri Potti Sriramulu Nellore,"Saastra College of Pharmaceutical Educational and Research, Guduru.",178,45,223,15,5,20,11
180,Andhra Pradesh,Guntur,College Institution,Guntur,A.S.M and A.W. D Women's Degree College,103,103,206,7,2,9,22
181,Andhra Pradesh,Chittoor,College Institution,Chittoor,"SVA Govt. Degree College for Men, Srikalahasti",933,165,1098,26,8,34,32
182,Andhra Pradesh,Krishna,College Institution,Krishna,SRI MVKR COLLEGE OF EDUACTION,147,49,196,4,4,8,24
183,Andhra Pradesh,East Godavari,College Institution,Guntur,"PNC and Vijai Institute of Engineerng and Technology, Pirangipuram, PIN- 522529(CC-2B)",514,111,625,42,20,62,10
184,Andhra Pradesh,Guntur,College Institution,Guntur,H.M.K.S. and M.G.S. Memorial College of Education,1020,588,1608,13,7,20,80
185,Andhra Pradesh,Krishna,College Institution,Krishna,A.V.R. DEGREE COLLEGE,74,44,118,4,4,8,14
186,Andhra Pradesh,Anantapur,College Institution,Anantapur,"Sir C.V. Raman College of Education, Tadipatri",100,58,158,8,0,8,19
187,Andhra Pradesh,Visakhapatnam,College Institution,West Godavari,GTP College of Education for Women,191,191,382,7,6,13,29
188,Andhra Pradesh,Krishna,College Institution,Krishna,PRASANTHI DEGREE COLLEGE,148,87,235,11,0,11,21
189,Andhra Pradesh,East Godavari,College Institution,West Godavari,"Helapuri Institute of Technology and Science,Vegavaram, Denduluru Mandalam, Eluru, PIN- 534 450 (CC-7E)",328,25,353,49,20,69,5
190,Andhra Pradesh,East Godavari,College Institution,East Godavari,"A S R College of Engineering and Technology, PIN-533003 (CC-6Y)",655,279,934,28,21,49,19
191,Andhra Pradesh,Anantapur,College Institution,Kurnool,"Dr.K.V.Subba Reddy Institute of Pharmacy, Kurnool",235,96,331,15,4,19,17
192,Andhra Pradesh,Guntur,College Institution,Prakasam,Geetham Degree College,507,242,749,12,5,17,44
