Sr. No.,State Name,University District,Univesity Name / Body Type,Institution District,College/Stand Alone Institution,Student Enrolment - Male,Student Enrolment - Female,Student Enrolment - Total,Teaching Staff (Excluding - Male),Teaching Staff (Excluding - Female),Teaching Staff (Excluding - Total),PTR (Equal to 9/12)
7616,Karnataka,--,Teacher Training,Mandya,SRI. K.V SHANKARAGOWDA PRIMARY TTI MANDYA,39,37,76,4,2,6,12
7617,Karnataka,Belgaum,College Institution,Belgaum,"DMSM'S B K COLLEGE OF ARTS, SCIE and COMM COLLEGE, BELGAUM",1800,1048,2848,40,10,50,56
7618,Karnataka,--,Nursing,Shimoga,BAPUJI SCHOOL OF NURSING SHIMOGA,133,95,228,3,10,13,17
7619,Karnataka,Dharwad,College Institution,Uttara Kannada,"Sri.Jnaneshwari College of Education, Sagar Road, Ayodhya Nagar, Bhatkal.",90,67,157,6,2,8,19
7620,Karnataka,--,Nursing,Bangalore,CHURCH OF SOUTH INDIA HOSPITAL BANGALORE,137,136,273,4,13,17,16
7621,Karnataka,Dharwad,College Institution,Dharwad,"Sonia College of Education ,Tejashwi Nagar Dharwad.",95,22,117,2,5,7,16
7622,Karnataka,--,Teacher Training,Hassan,"SVM GOUTAM DED COLLEGE, HASSAN",19,13,32,7,1,8,4
7623,Karnataka,Gulbarga,College Institution,Gulbarga,C326 Mohammadi College of Education Gulbarga,100,35,135,6,1,7,19
7624,Karnataka,--,Teacher Training,Uttara Kannada,J.M.J D.ED COLLGE UTTARA KANNADA,73,73,146,2,4,6,24
7625,Karnataka,Belgaum,College Institution,Bijapur,"BDPHWA'S M A KADE ARTS and COMM COLLEGE, BIJAPUR",1662,323,1985,27,7,34,58
7626,Karnataka,--,Teacher Training,Kodagu,"SREEMANGALA DED COLLEGE VIRAJPET TALUK, KODAGU",30,26,56,3,2,5,11
7627,Karnataka,Belgaum,College Institution,Bagalkot,"BVVS's BASAVESHWAR ARTS COLLEGE, BAGALKOT",701,316,1017,30,7,37,27
7628,Karnataka,Belgaum,College Institution,Belgaum,"M M ARTS, COMMERCE, SCIENCE and HOME SCIENCE COLLEGE, BELAGAVI (PG)",623,269,892,9,12,21,42
7629,Karnataka,Belgaum,College Institution,Belgaum,"S P M'S RTS and COMMER COLLEGE, RAIBAG",428,122,550,9,0,9,61
7630,Karnataka,Bijapur,College Institution,Koppal,Vinootana Shikshana Seva samsthe's surabhi women's Education college B.Ed Munirabad 583234,96,96,192,2,6,8,24
7631,Karnataka,Gulbarga,College Institution,Gulbarga,C443 Aryan College of MSW Gulbarga,24,16,40,2,2,4,10
7632,Karnataka,--,Teacher Training,Mandya,"SRI GURU SHANESHWARA D ED COLLEGE, MELKOTE",51,46,97,2,4,6,16
7633,Karnataka,Gulbarga,College Institution,Gulbarga,C407 Taj College Of Education Gulbarga,75,4,79,1,0,1,79
7634,Karnataka,--,Teacher Training,Mandya,GOVERNMENT TEACHER TRAINING INSTITUTE NAGAMANGALA MANDYA,76,66,142,4,0,4,35
7635,Karnataka,Bangalore,College Institution,Mysore,Gopala Gowda Shantaveri Memorial College of Nursing,174,161,335,6,44,50,6
7636,Karnataka,Bijapur,College Institution,Dharwad,"Sardar Veerangouda Patil mahila vidyapeth smt. Manoramadevi Jugal kishor SomaniArts and Commerce College for Women vidya Nagar, Hubli-580 021",422,422,844,10,19,29,29
7637,Karnataka,Belgaum,College Institution,Bagalkot,"BVV SANGH INST. OF MANAGEMENT STUDIES, BAGALKOTE (PG)",64,34,98,7,2,9,10
7638,Karnataka,Gulbarga,College Institution,Gulbarga,C308 N V Degree College Gulbarga,931,460,1391,0,0,0,0
7639,Karnataka,Bangalore,College Institution,Bangalore,"Aishwarya First Grade College, #42/65, Gnanaganganagar, Near Jnanabharathi, Ring Road, Bangalore -56,",160,88,248,12,9,21,11
7640,Karnataka,Mysore,College Institution,Hassan,"Hasanamba College of Education, Hassan",100,74,174,5,2,7,24
7641,Karnataka,Bangalore,College Institution,Bangalore,Indira Gandhi College of Nursing,96,76,172,0,16,16,10
7642,Karnataka,Bellary,College Institution,Tumkur,"Vani Chitrakala Shale, Chikkanayakanahalli",34,12,46,4,1,5,9
7643,Karnataka,Bangalore,College Institution,Bangalore,Mahatma Gandhi Professional College of Nursing,193,172,365,27,81,108,3
7644,Karnataka,Belgaum,College Institution,Bijapur,ARIHANT CHARITABLE MINORITY BSW COLLEGE MUDDEBIHAL,81,40,121,4,3,7,17
7645,Karnataka,Bellary,College Institution,Bidar,"Basaveshwara Chitrakala Mahavidyalaya, Basavakalyan",50,6,56,13,1,14,4
7646,Karnataka,--,Teacher Training,Raichur,SRI KANNIKA PARAMESHWARI EDUCATION FOUNDATION RAICHUR,142,83,225,5,1,6,37
7647,Karnataka,Bangalore,College Institution,Bangalore,"East West College of Management, Viswaneedum Post, Magadi Mn Road, Bangalore-91",433,108,541,12,13,25,21
7648,Karnataka,Belgaum,College Institution,Bangalore,"BMS College of Engineering, BANGALORE",4940,1698,6638,140,124,264,25
7649,Karnataka,Dakshina Kannada,College Institution,Dakshina Kannada,Yenepoya Physiotherapy College,71,33,104,8,4,12,8
7650,Karnataka,--,Teacher Training,Kodagu,"SARSWATHI TTI MADIKERI, KODAGU",34,32,66,7,0,7,9
7651,Karnataka,Bangalore,College Institution,Bangalore Rural,"Sri Krishna College of Education, Sri Venugopalaswamy Education Complex, Bychapura Raod, Devenahlli-562 110.",0,0,0,8,0,8,8
7652,Karnataka,Belgaum,College Institution,Bijapur,"SMRK VIDYAVARDHK SANGHAS COLLEGE OF EDU., BIJAPUR",100,52,152,6,2,8,19
7653,Karnataka,Gulbarga,College Institution,Bidar,B235 Bodhi Vriksha Degree College Humnabad,150,96,246,4,1,5,49
7654,Karnataka,Shimoga,College Institution,Shimoga,"S.M.R. Arts and Commerce College, Shankaraghatta.",483,274,757,23,3,26,29
7655,Karnataka,Gulbarga,College Institution,Gulbarga,C472 Pragati College of Computer Science Aland,81,20,101,4,1,5,20
7656,Karnataka,--,Teacher Training,Davanagere,"S W C S D ED HONNALI, DAVANAGERE",57,41,98,4,2,6,16
7657,Karnataka,Dakshina Kannada,College Institution,Dakshina Kannada,"Karavali College, NH-17, Near Kottara Chowki Junction, Bangra Kuloor, Mangalore-13",496,203,699,18,24,42,16
7658,Karnataka,--,Nursing,Bidar,USHA SCHOOL OF NURSING BIDAR,36,6,42,2,10,12,3
7659,Karnataka,Bangalore,College Institution,Bangalore,"Brindavan College (National FGC),2nd Cross, RMV Ext, Bhoopsandra II stage,Bangalore-94",1086,262,1348,60,49,109,12
7660,Karnataka,--,Nursing,Gulbarga,DR L PADMAVATHI INSTITUTE OF NURSING SCIENCES GULBARGA,336,163,499,20,45,65,7
7661,Karnataka,Bangalore,College Institution,Bidar,Siddarameshwar Ayurvedic Medical College,47,16,63,29,8,37,1
7662,Karnataka,--,Nursing,Gulbarga,DR L PADMAVATHI INSTITUTE OF NURSING SCIENCES GULBARGA,0,0,0,20,45,65,65
7663,Karnataka,Bangalore,College Institution,Bangalore,"Noble Evening College, #12A/19, 9th Cross, Opp. to Rajashekhar Hospital, JPNagar, 1st Phase, Bangalore-78 (2011-12)",6,1,7,5,3,8,0
7664,Karnataka,--,Teacher Training,Dakshina Kannada,KARAVALI INSTITUTE OF EDUCATION DAKSHINA KANNADA,11,11,22,0,5,5,4
7665,Karnataka,Bangalore,College Institution,Bangalore,"Surana College,No. 16,South End Circle Bangalore-4.",1444,473,1917,25,48,73,26
7666,Karnataka,--,Nursing,Bangalore Rural,HOSKOTE MISSION INSTITUTE OF NURSING BANGALORE,136,136,272,1,15,16,17
7667,Karnataka,Bangalore,College Institution,Bangalore,"Garden City College of Science and Management, College,No.9, Dooravani Nagar,Bangalore-49",997,383,1380,44,101,145,9
7668,Karnataka,--,Teacher Training,Raichur,"INFANT JESUS D.ED COLLEGE, RAICHUR",70,54,124,4,2,6,20
7669,Karnataka,Bangalore,College Institution,Belgaum,Shri Shivayogeeshwara Ayurvedic Medical College,198,99,297,35,13,48,6
7670,Karnataka,--,Teacher Training,Dharwad,"SHREE JAGADGURU UJJAINI SHIDDLINGESHWARA D.ED COLLEGE, KUBHIHAL",34,19,53,3,3,6,8
7671,Karnataka,Bangalore,College Institution,Bangalore,"International Institute of Business Studies, No.70, Sujatha Complex, KHB Main Road, RT Nagar, Bangalore-560 032",144,39,183,6,6,12,15
7672,Karnataka,--,Teacher Training,Dakshina Kannada,ROSA MISTICA TEACHER TRAINING INSTITUTE DAKSHINA KANNADA,48,48,96,0,7,7,13
7673,Karnataka,Bijapur,College Institution,Gulbarga,"Godutai College of Education for women, Sharananagar, Gulbarga-585103",85,85,170,0,14,14,12
7674,Karnataka,--,Teacher Training,Dakshina Kannada,ST ANNS TEACHER TRAINING INSTITUTE DAKSHINA KANNADA,57,57,114,1,8,9,12
7675,Karnataka,Belgaum,College Institution,Dharwad,"KLE College of Pharmacy, Hubli",186,46,232,23,3,26,8
7676,Karnataka,--,Teacher Training,Bellary,V.V. SANGHAS TEACHER TRAINING INSTITUTE BELLARY,52,41,93,5,1,6,15
7677,Karnataka,Dharwad,College Institution,Uttara Kannada,"Got. I Grade College, Joida Tq Haliyal Dist Karwar.",89,59,148,2,0,2,74
7678,Karnataka,--,Nursing,Bangalore,MARIAM SCHOOL OF GENERAL NURSING and MIDWIFERY BANGALORE URBAN,216,104,320,8,13,21,15
7679,Karnataka,Gulbarga,College Institution,Bidar,B298 Basavateerth Degree College Hallikhed,113,96,209,8,0,8,26
7680,Karnataka,--,Teacher Training,Dharwad,"ST. ANNES D.ED. COLLEGE, ALNAVAR",43,34,77,4,2,6,12
7681,Karnataka,Belgaum,College Institution,Bangalore,"Brindavan College of Engg., BANGALORE",831,266,1097,25,36,61,17
7682,Karnataka,Dharwad,College Institution,Uttara Kannada,"Mallikarjuna Arts and Commerce College, Siddar-Karwar.",259,143,402,8,8,16,25
7683,Karnataka,Belgaum,College Institution,Belgaum,"B. SHANKARANAND NATIONAL ARTS COLLEGE, GHATAPRABHA",182,59,241,9,1,10,24
7684,Karnataka,--,Teacher Training,Dharwad,ASHRAFEE TEACHERS TRAINING INSTITUTE DHARWAD,58,45,103,5,5,10,10
7685,Karnataka,Bangalore,College Institution,Bangalore,"Karnataka Chitrakala Parishath,Art Complex, Kumarakrupa Rd,Bangalore-01 (Autonomous)",389,224,613,21,1,22,27
7686,Karnataka,--,Teacher Training,Chitradurga,"SRI SHIVAKUMARASWAMI DED COLLEGE SANEHALLI, CHITRADURGA",46,37,83,11,1,12,6
7687,Karnataka,Bangalore,College Institution,Bangalore,"Acharya Institute of Management and Science, Ist Stage, Peenya Industrial Estate, Bangalore-58",1292,280,1572,49,32,81,19
7688,Karnataka,--,Technical/Polytechnic,Bangalore,M V J POLYTECHNIC BANGALORE-67,612,77,689,24,37,61,11
7689,Karnataka,Gulbarga,College Institution,Gulbarga,C376 Sri Veeranagouda BCA Degree College Gulbarga,67,15,82,7,1,8,10
7690,Karnataka,Bangalore,College Institution,Bangalore,"S.L.N College of Arts and Commerce, Fort Road, Bangalore-2",304,96,400,2,0,2,200
7691,Karnataka,Shimoga,College Institution,Chikmagalur,"Government First Grade College, Sringeri.",651,378,1029,5,2,7,147
7692,Karnataka,--,Teacher Training,Dharwad,SHRI GURUDEV TEACHER TRAINING INSTITUTION DHARWAD,44,32,76,5,1,6,12
7693,Karnataka,Belgaum,College Institution,Bagalkot,"SVM ARTS/SCI/COMM COLLEGE, ILKAL",1174,309,1483,37,9,46,32
7694,Karnataka,--,Teacher Training,Belgaum,GOMATESH TEACHER TRAINING INSTITUTION BELGAUM,174,43,217,4,2,6,36
7695,Karnataka,Tumkur,College Institution,Tumkur,"Kalpatharu Science First Grade College, Tiptur",1790,1123,2913,29,3,32,91
7696,Karnataka,--,Teacher Training,Uttara Kannada,S.M. SHANBHAG HEGDEKAR INSTITUTE UTTARA KANNADA,80,72,152,4,2,6,25
7697,Karnataka,Bangalore,College Institution,Shimoga,Tadikela Subbaiah College of Nursing,198,197,395,6,19,25,15
7698,Karnataka,--,Teacher Training,Belgaum,VIDYASAGAR ALPASANKHYATAR SHAIKSHANIK SAMSTHES ANN BELGAUM,27,22,49,0,6,6,8
7699,Karnataka,Bangalore,College Institution,Bangalore,Kamala College of Nursing,90,76,166,0,21,21,7
7700,Karnataka,--,Teacher Training,Belgaum,SHRI KUMARESHWAR EDUCATION TRUST BELGAUM,85,69,154,5,1,6,25
7701,Karnataka,Davanagere,College Institution,Chitradurga,"Sri Kote Boramma First Grade Women's College, Challakere.",305,133,438,14,3,17,25
7702,Karnataka,--,Teacher Training,Hassan,DISTRICT INSTITUTE OF EDUCATION AND TRAINING HASSAN,177,136,313,13,11,24,13
7703,Karnataka,Bangalore,College Institution,Bangalore,Bangalore Institute of Dental Sciences and Hospital,320,192,512,72,82,154,3
7704,Karnataka,Belgaum,College Institution,Bijapur,"SSVVS KUMARI MONICA BASAVARAJ KANNI B.ED COLLEGE, BIJAPUR",98,35,133,7,1,8,16
7705,Karnataka,Bangalore,College Institution,Bangalore,"K.L.E Society S. Nijalingappa College, Rajajinagar, Bangalore-10",1990,735,2725,61,69,130,20
7706,Karnataka,Dakshina Kannada,College Institution,Udupi,"Dr. T.M.A. Pai College of Education, Kunjibettu, Udupi - 576102",100,90,190,3,5,8,23
7707,Karnataka,Bellary,College Institution,Raichur,"Nootana Lalitakala Mahavidyala, Raichur",51,9,60,13,3,16,3
7708,Karnataka,--,Teacher Training,Uttara Kannada,SHIVAJI TEACHER TRAINING INSTIUTE UTTARA KANNADA,79,69,148,3,4,7,21
7709,Karnataka,Belgaum,College Institution,Bagalkot,"GOVT FIRST GRADE COLLEGE, TERADAL",221,97,318,14,2,16,19
7710,Karnataka,Bangalore,College Institution,Bangalore,K R College of Nursing,140,111,251,18,21,39,6
7711,Karnataka,Bangalore,College Institution,Bangalore Rural,"Govt. FGC, Hoskote, Bangalore",1098,460,1558,20,7,27,57
7712,Karnataka,--,Technical/Polytechnic,Dharwad,"OXFORD POLYTECHNIC, HUBLI",590,135,725,9,9,18,40
7713,Karnataka,Udupi,College Institution,Udupi,"Manipal College of Allied Health Sciences, Manipal",721,472,1193,55,62,117,10
7714,Karnataka,--,Teacher Training,Belgaum,RAGAHAVENDRA RURAL DEVELOPMENT ASSOCIATION BELGAUM,61,45,106,7,2,9,11
7715,Karnataka,Bangalore,College Institution,Hassan,Hassan Institute of Medical Sciences,602,245,847,108,39,147,5
7716,Karnataka,--,Teacher Training,Gulbarga,RAINBOW TEACHER TRAINING INSTITUTE GULBARGA,39,37,76,5,1,6,12
7717,Karnataka,Bellary,College Institution,Raichur,"Nootana Lalitakala Mahavidyalaya, Lingasugur",34,4,38,1,0,1,38
7718,Karnataka,--,Teacher Training,Bellary,SRI SHARANABASAVESWARA TEACHER TRAINING INSTITUTE BELLARY,200,95,295,10,0,10,29
7719,Karnataka,Davanagere,College Institution,Davanagere,"SRI Basaveshwara Government First Grade College ,Mayakonda",215,109,324,7,2,9,36
7720,Karnataka,Bangalore,College Institution,Gulbarga,Hi � Tech City College of Nursing,40,10,50,6,11,17,2
7721,Karnataka,Bangalore,College Institution,Bangalore,Manjunath College of Nursing,256,160,416,15,24,39,10
7722,Karnataka,--,Teacher Training,Hassan,SRI CHANDRA SHEKARA TEACHERS TRAINING INSTITUTE HASSAN,13,11,24,2,1,3,8
7723,Karnataka,Belgaum,College Institution,Bagalkot,"GOVT.COLLEGE OF TEACHERS EDU., JAMAKHANDI",62,33,95,11,0,11,8
7724,Karnataka,--,Nursing,Gulbarga,ABU KARNATAKA SCHOOL OF NURSING GULBARGA,102,39,141,11,7,18,7
7725,Karnataka,Belgaum,College Institution,Bijapur,"CHETANA EDU., SOCI., CHETANA BBA COLLEGE, BIJAPUR",191,67,258,10,0,10,25
7726,Karnataka,--,Teacher Training,Gulbarga,"AL-NAZAR D.ED. COLLEGE HOUSING BOARD COLONY, GULBARGA",32,21,53,6,0,6,8
7727,Karnataka,Bangalore,College Institution,Bangalore,"Universal College of Computer Application, No. 90, Magadi Main Road Near Tolgate Circle, Bangalore-44",79,35,114,5,11,16,7
7728,Karnataka,--,Teacher Training,Gulbarga,"DR. RADHAKRISHNA D.ED. COLLEGE CHITTAPUR, GULBARGA",84,72,156,3,3,6,26
7729,Karnataka,Bangalore,College Institution,Bangalore,"P.E.S. Degree College (Bangalore South Campus), Hosur Road, Electronic City, Bangalore-560 100",27,2,29,3,6,9,3
7730,Karnataka,--,Teacher Training,Tumkur,MANSA EDUCATION SOCIETY TUMKUR,18,16,34,6,0,6,5
7731,Karnataka,Dakshina Kannada,College Institution,Dakshina Kannada,"St. Aloysius Institute of Education, Mangalore",70,63,133,1,6,7,19
7732,Karnataka,--,Teacher Training,Tumkur,S.V.S.INSTITUTE OF DIPLOMO IN EDUCATION TUMKUR,16,16,32,3,3,6,5
7733,Karnataka,Bangalore,College Institution,Bangalore,BANGALORE CITY COLLEGE OF NURSING,0,0,0,2,6,8,8
7734,Karnataka,--,Teacher Training,Bagalkot,"BALEKUNDRI DED COLLEGE, CHIKKAPADASALAGI",27,23,50,5,1,6,8
7735,Karnataka,Bangalore,College Institution,Bangalore,"P.E.S College, BSK I stage, Bangalore-50",1790,844,2634,31,29,60,43
7736,Karnataka,--,Teacher Training,Tumkur,"SHREE VIVEKANANDA DED COLLEGE, TUMKUR",48,37,85,6,0,6,14
7737,Karnataka,Dharwad,College Institution,Gadag,"KSS Arts,Science and Commerce College, Gadag",1200,448,1648,45,7,52,31
7738,Karnataka,--,Teacher Training,Tumkur,SIDDARTHA TEACHER TRAINING INSTITUTE TUMKUR,152,114,266,3,1,4,66
7739,Karnataka,Bangalore,College Institution,Tumkur,Shridevi College of Nursing,406,340,746,10,35,45,16
